,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_0_45_after,pips_agg_0_45_after,volatility_0_60_after,pips_agg_0_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_240_after,direction_agg_0_240_after
52,2007-03-02 10:00:00,63,-2.7,0,-3.6,0,0,0,1,1,0,0,0,0,1,2007,9,4,1,8,5,12,1,8,-1,15,-5,5,-7,5,-8,24,0,24,-3,21,-5,26,2
53,2007-03-05 10:00:00,40,-2.9,0,0.0,0,0,0,1,1,0,0,1,0,0,2007,10,0,1,14,13,11,7,7,9,7,9,2,12,7,12,17,8,18,2,40,14,-5,1
54,2007-03-07 08:15:00,0,-43.0,0,-31.0,0,0,0,1,0,0,1,0,0,1,2007,10,2,1,12,4,9,-3,6,-1,3,0,4,2,5,4,15,2,15,2,17,3,14,1
55,2007-03-07 10:30:00,18,-3.14,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,10,2,1,7,5,4,4,5,-1,5,2,7,-1,5,-1,13,-5,18,-5,21,10,25,2
56,2007-03-07 15:00:00,12,-0.6,0,-1.0,0,0,0,1,0,0,1,0,1,0,2007,10,2,1,7,-1,6,0,4,-1,4,-2,6,-4,4,-5,11,-6,11,-3,24,21,-7,1
57,2007-03-08 08:30:00,69,-0.1,0,-1.3,0,1,0,0,1,0,0,0,1,0,2007,10,3,1,8,-6,5,-6,17,-7,10,-10,8,-6,20,-18,46,-30,54,-36,19,2,-34,0
58,2007-03-08 09:30:00,46,-0.22,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,10,3,1,5,-1,9,5,9,-3,5,-6,5,-1,5,-1,13,0,14,-2,54,-28,3,1
59,2007-03-09 10:00:00,31,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,10,4,1,11,10,8,4,5,7,8,10,3,10,6,6,13,8,18,12,21,1,9,1
60,2007-03-12 15:00:00,25,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,11,0,1,5,1,5,1,5,-1,5,1,4,4,3,5,11,6,11,3,27,7,5,1
61,2007-03-13 10:00:00,5,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,11,1,1,4,0,4,1,6,-4,5,-4,9,-10,6,-13,19,-6,19,-7,14,-9,1,1
62,2007-03-13 11:00:00,37,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,1,1,3,1,3,0,4,2,3,4,4,1,6,1,8,-3,12,4,17,-13,6,1
63,2007-03-14 10:30:00,18,-0.27,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,2,1,5,0,14,12,11,5,5,8,8,2,5,4,17,1,17,7,33,30,6,1
64,2007-03-15 09:00:00,66,1.0,0,-1.3,0,0,1,0,1,0,0,1,0,0,2007,11,3,1,14,6,13,15,8,10,5,8,15,15,7,12,26,14,26,11,30,-4,15,1
65,2007-03-15 10:30:00,46,0.48,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,3,1,5,-3,4,-1,6,2,5,0,15,9,6,10,20,7,24,17,13,4,5,1
