,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
3,reg,rforest,basic,ALL_NO_1_1_1,60_180,included,basic,28.39,"{'max_depth': 5, 'min_samples_leaf': 20, 'n_estimators': 50}",,,,,,,,,27.15,47.63
4,reg,xgb,basic,ALL_NO_1_1_1,60_180,included,basic,28.29,{'n_estimators': 50},,,,,,,,,27.43,0.29
5,reg,gboosting,basic,ALL_NO_1_1_1,60_180,included,basic,28.26,{'n_estimators': 50},,,,,,,,,27.70,0.71
6,reg,ada,basic,ALL_NO_1_1_1,60_180,included,basic,29.57,{'n_estimators': 10},,,,,,,,,28.17,0.59
0,clf,kn,all,ALL_NO_1_1_1,60_180,included,basic,0.60,{'n_neighbors': 31},0.61,0.63,0.61,0.59,0.71,316.00,624.00,352.00,"{'0': {'precision': 0.6146341463414634, 'recall': 0.3987341772151899, 'f1-score': 0.48368522072936665, 'support': 316}, '1': {'precision': 0.5900552486187846, 'recall': 0.8557692307692307, 'f1-score': 0.6984957488554611, 'support': 624}, '2': {'precision': 0.7087912087912088, 'recall': 0.3664772727272727, 'f1-score': 0.48314606741573035, 'support': 352}, 'micro avg': {'precision': 0.6106811145510835, 'recall': 0.6106811145510835, 'f1-score': 0.6106811145510835, 'support': 1292}, 'macro avg': {'precision': 0.6378268679171523, 'recall': 0.5403268935705644, 'f1-score': 0.5551090123335194, 'support': 1292}, 'weighted avg': {'precision': 0.6284159217310601, 'recall': 0.6106811145510835, 'f1-score': 0.5872858303147249, 'support': 1292}}",7.03
1,clf,svc-rbf,all,ALL_NO_1_1_1,60_180,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,0.23,0.00,0.48,0.00,316.00,624.00,352.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 316}, '1': {'precision': 0.48297213622291024, 'recall': 1.0, 'f1-score': 0.651356993736952, 'support': 624}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 352}, 'micro avg': {'precision': 0.48297213622291024, 'recall': 0.48297213622291024, 'f1-score': 0.48297213622291024, 'support': 1292}, 'macro avg': {'precision': 0.1609907120743034, 'recall': 0.3333333333333333, 'f1-score': 0.21711899791231734, 'support': 1292}, 'weighted avg': {'precision': 0.23326208436772136, 'recall': 0.48297213622291024, 'f1-score': 0.31458727870886843, 'support': 1292}}",8.81
2,clf,dtree,all,ALL_NO_1_1_1,60_180,included,basic,0.64,"{'max_depth': 3, 'min_samples_leaf': 150}",0.64,0.67,0.68,0.60,0.77,316.00,624.00,352.00,"{'0': {'precision': 0.6755555555555556, 'recall': 0.4810126582278481, 'f1-score': 0.5619223659889094, 'support': 316}, '1': {'precision': 0.6013590033975085, 'recall': 0.8509615384615384, 'f1-score': 0.7047113470471135, 'support': 624}, '2': {'precision': 0.7717391304347826, 'recall': 0.4034090909090909, 'f1-score': 0.5298507462686567, 'support': 352}, 'micro avg': {'precision': 0.6385448916408669, 'recall': 0.6385448916408669, 'f1-score': 0.6385448916408669, 'support': 1292}, 'macro avg': {'precision': 0.6828845631292823, 'recall': 0.5784610958661591, 'f1-score': 0.5988281531015599, 'support': 1292}, 'weighted avg': {'precision': 0.6659255012296009, 'recall': 0.6385448916408669, 'f1-score': 0.6221476864523694, 'support': 1292}}",0.58
3,clf,rforest,all,ALL_NO_1_1_1,60_180,included,basic,0.65,"{'max_depth': 7, 'min_samples_leaf': 30, 'n_estimators': 50}",0.64,0.64,0.63,0.63,0.68,316.00,624.00,352.00,"{'0': {'precision': 0.6324786324786325, 'recall': 0.46835443037974683, 'f1-score': 0.5381818181818181, 'support': 316}, '1': {'precision': 0.6254589963280294, 'recall': 0.8189102564102564, 'f1-score': 0.7092297015961136, 'support': 624}, '2': {'precision': 0.6846473029045643, 'recall': 0.46875, 'f1-score': 0.5564924114671164, 'support': 352}, 'micro avg': {'precision': 0.6377708978328174, 'recall': 0.6377708978328174, 'f1-score': 0.6377708978328174, 'support': 1292}, 'macro avg': {'precision': 0.6475283105704087, 'recall': 0.5853382289300011, 'f1-score': 0.6013013104150161, 'support': 1292}, 'weighted avg': {'precision': 0.6433014800265826, 'recall': 0.6377708978328174, 'f1-score': 0.6257818244410638, 'support': 1292}}",18.57
4,clf,xgb,all,ALL_NO_1_1_1,60_180,included,basic,0.65,{'n_estimators': 10},0.64,0.64,0.62,0.63,0.68,316.00,624.00,352.00,"{'0': {'precision': 0.624, 'recall': 0.4936708860759494, 'f1-score': 0.5512367491166077, 'support': 316}, '1': {'precision': 0.6312419974391805, 'recall': 0.7900641025641025, 'f1-score': 0.701779359430605, 'support': 624}, '2': {'precision': 0.6819923371647509, 'recall': 0.5056818181818182, 'f1-score': 0.5807504078303425, 'support': 352}, 'micro avg': {'precision': 0.6400928792569659, 'recall': 0.6400928792569659, 'f1-score': 0.6400928792569659, 'support': 1292}, 'macro avg': {'precision': 0.6457447782013105, 'recall': 0.5964722689406234, 'f1-score': 0.6112555054591851, 'support': 1292}, 'weighted avg': {'precision': 0.6432974528514249, 'recall': 0.6400928792569659, 'f1-score': 0.631985508174788, 'support': 1292}}",0.89
5,clf,gboosting,all,ALL_NO_1_1_1,60_180,included,basic,0.65,{'n_estimators': 100},0.63,0.64,0.62,0.62,0.67,316.00,624.00,352.00,"{'0': {'precision': 0.6219512195121951, 'recall': 0.48417721518987344, 'f1-score': 0.5444839857651246, 'support': 316}, '1': {'precision': 0.6240409207161125, 'recall': 0.782051282051282, 'f1-score': 0.6941678520625889, 'support': 624}, '2': {'precision': 0.6704545454545454, 'recall': 0.5028409090909091, 'f1-score': 0.5746753246753246, 'support': 352}, 'micro avg': {'precision': 0.6331269349845201, 'recall': 0.6331269349845201, 'f1-score': 0.6331269349845201, 'support': 1292}, 'macro avg': {'precision': 0.6388155618942843, 'recall': 0.5896898021106881, 'f1-score': 0.6044423875010126, 'support': 1292}, 'weighted avg': {'precision': 0.6361750153968327, 'recall': 0.6331269349845201, 'f1-score': 0.6250026265282888, 'support': 1292}}",3.15
