,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_90_after,direction_agg_0_90_after
54,2007-02-15 09:00:00,66,-133.2,0,3.0,0,0,0,3,0,3,0,1,0,0,2007,7,3,1,18,17,7,19,32,16,11,26,-6,10,34,3,10,34,1,8,27,-6,28,6,9,1
55,2007-02-15 09:15:00,9_42,-2.2,0,2.0,0,0,0,4,2,2,0,0,0,2,2007,7,3,2,10,8,3,10,8,1,8,1,-6,5,-1,-2,7,-3,-1,6,-7,-2,42,27,-7,1
56,2007-02-15 10:30:00,46,-0.52,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,7,3,1,17,14,16,4,13,0,11,17,7,28,-6,-21,9,-5,1,5,-2,2,17,-12,-5,1
57,2007-02-15 12:00:00,53,-5.8,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,7,3,1,10,9,8,8,8,-1,10,0,-8,5,2,2,9,8,4,7,4,-3,18,-1,-9,1
58,2007-02-15 13:00:00,44,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,7,3,1,8,-8,-6,7,-10,-2,4,-7,3,4,-7,0,6,-5,0,6,-4,3,26,-12,-2,1
59,2007-02-16 08:30:00,49_16_4_36,-0.44,0,2.0,0,7,0,2,9,0,0,1,0,3,2007,7,4,4,13,13,7,7,16,3,20,-3,-18,10,-16,-7,10,-13,4,11,-9,6,25,0,-5,1
60,2007-02-16 10:00:00,58,-9.600000000000001,0,-3.3000000000000003,0,0,0,3,0,0,3,1,0,0,2007,7,4,1,15,-7,-8,7,-2,4,4,-3,1,4,-4,-2,3,-4,0,4,-4,0,26,12,8,1
61,2007-02-21 08:30:00,13_8,3.0,0,-0.5,0,2,3,0,0,0,5,1,0,1,2007,8,2,2,26,-13,-6,19,-32,-17,10,-26,7,4,-29,-2,8,-35,-6,5,-30,3,31,12,-21,0
62,2007-02-21 10:00:00,7,-0.1,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,8,2,1,5,1,2,8,6,4,10,6,-3,5,4,-2,4,2,-1,5,4,3,13,5,1,1
63,2007-02-22 08:30:00,69,0.47,0,1.32,0,0,0,1,1,0,0,0,1,0,2007,8,3,1,7,-6,-5,6,-4,3,4,-4,-1,7,-11,-7,6,-12,-3,4,-10,2,18,13,-5,1
