,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,direction_candle_0_5_after,direction_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,direction_candle_5_10_after,direction_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,direction_candle_10_15_after,direction_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,direction_candle_15_20_after,direction_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,direction_candle_20_25_after,direction_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,direction_candle_25_30_after,direction_agg_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_240_after,direction_agg_0_240_after
45,2007-02-08 10:00:00,31,0.71,0.71,0,1,0,0,1,0,0,1,0,2007,6,3,1,4,1,1,0,0,5,3,3,0,0,6,0,-2,0,0,5,4,5,0,0,7,10,6,0,1,5,9,0,0,0,19,1,15,1
46,2007-02-08 10:30:00,46,-0.2,-0.2,1,0,0,1,0,0,0,1,0,2007,6,3,1,5,-2,-1,0,0,6,-1,2,0,0,12,5,7,0,0,7,8,3,0,0,6,12,3,0,1,7,13,2,0,1,15,8,9,0
47,2007-02-12 14:00:00,25,-1.42,-1.42,2,0,0,2,0,0,0,0,1,2007,7,0,1,5,1,0,0,0,5,-1,-2,0,0,5,1,1,0,0,6,2,1,0,0,4,3,1,0,0,4,3,2,0,0,13,-8,4,0
48,2007-02-13 08:30:00,68,-2.13,-2.13,0,0,3,3,0,0,1,0,0,2007,7,1,1,12,2,-4,0,0,17,17,15,1,1,9,15,-3,0,1,7,9,-5,0,0,3,11,0,0,1,7,6,-5,0,0,23,13,0,0
49,2007-02-13 10:00:00,37,-0.71,-0.71,0,0,1,1,0,0,0,1,0,2007,7,1,1,6,0,-2,0,0,6,0,0,0,0,4,-4,-4,0,0,5,-1,3,0,0,4,1,2,0,0,4,2,1,0,0,18,-7,6,0
50,2007-02-14 08:30:00,17_60,-4.26,-4.26,0,0,6,0,6,0,2,0,0,2007,7,2,2,13,10,9,0,1,9,6,-3,0,0,6,8,2,0,0,7,9,1,0,0,11,20,8,0,1,10,17,-5,0,1,20,6,44,2
51,2007-02-14 10:00:00,5,1.42,1.42,0,2,0,0,2,0,0,0,1,2007,7,2,1,36,33,33,2,2,12,33,0,0,2,10,39,4,0,2,10,47,8,0,2,11,40,-8,0,2,5,40,-2,0,2,46,3,20,1
52,2007-02-14 10:30:00,18,0.48,0.48,1,0,0,1,0,0,0,1,0,2007,7,2,1,7,-5,-6,0,0,5,-4,-1,0,0,4,-7,-3,0,0,4,-3,2,0,0,7,-8,-5,0,0,10,-15,-8,0,-1,60,46,-20,-1
53,2007-02-15 08:30:00,69_41_21,-1.4699999999999998,-1.4900000000000002,0,2,3,5,0,0,0,1,2,2007,7,3,3,13,2,5,0,0,11,0,-3,0,0,5,2,2,0,0,4,0,0,0,0,4,-1,-1,0,0,6,-5,-4,0,0,13,1,13,1
54,2007-02-15 09:00:00,66,-2.13,-2.13,0,0,3,0,3,0,1,0,0,2007,7,3,1,18,17,7,0,1,19,32,16,1,2,11,26,-6,0,2,10,34,3,0,2,10,34,1,0,2,8,27,-6,0,2,28,6,-5,0
55,2007-02-15 09:15:00,9_42,-2.84,-2.84,0,0,4,2,2,0,0,0,2,2007,7,3,2,10,8,3,0,0,10,8,1,0,0,8,1,-6,0,0,5,-1,-2,0,0,7,-3,-1,0,0,6,-7,-2,0,0,42,27,-34,-2
