,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_60_after,direction_agg_0_60_after
164,2007-12-03 10:00:00,17,0.49,0.49,1,0,0,1,0,0,1,2007,49,0,1,22,-1,3,0
165,2007-12-05 08:15:00,0,1.65,1.65,0,1,0,0,1,0,1,2007,49,2,1,25,7,-39,-2
166,2007-12-05 10:00:00,18,-0.34,-0.34,0,0,1,1,0,0,1,2007,49,2,1,38,-16,-3,0
167,2007-12-07 08:30:00,22_33,1.72,0.98,0,2,0,2,0,0,2,2007,49,4,2,44,3,3,0
168,2007-12-07 10:00:00,28,1.12,1.19,1,0,0,0,1,0,1,2007,49,4,1,29,-9,-2,0
169,2007-12-10 10:00:00,24,0.06,0.77,0,1,0,0,1,0,1,2007,50,0,1,22,4,-12,-1
170,2007-12-11 14:15:00,15,0.45,0.45,1,0,0,1,0,0,1,2007,50,1,1,50,5,-41,-2
171,2007-12-12 08:30:00,31,-0.8,-0.25,1,0,0,1,0,0,1,2007,50,2,1,46,3,-9,0
172,2007-12-13 08:30:00,10_29_23,2.68,3.0500000000000003,0,3,0,2,1,0,3,2007,50,3,3,30,7,-17,-1
173,2007-12-14 08:30:00,7,1.79,1.79,0,1,0,1,0,0,1,2007,50,4,1,64,9,-33,-2
174,2007-12-17 09:00:00,30,1.14,0.99,0,1,0,0,0,1,1,2007,51,0,1,23,-3,-18,-1
175,2007-12-18 08:30:00,3,0.65,0.58,1,0,0,1,0,0,1,2007,51,1,1,33,9,20,1
176,2007-12-27 08:30:00,8,-0.67,-1.19,0,0,1,0,0,1,1,2007,52,3,1,26,1,60,2
177,2007-12-27 10:00:00,4,1.46,1.56,0,1,0,0,1,0,1,2007,52,3,1,18,-8,2,0
178,2007-12-28 10:00:00,21,-1.38,-0.92,0,0,1,0,0,1,1,2007,52,4,1,39,8,22,2
179,2007-12-31 10:00:00,14,0.76,0.71,0,1,0,1,0,0,1,2007,52,0,1,63,-41,-52,-2
180,2008-01-02 10:00:00,17,-1.68,-1.68,0,0,1,1,0,0,1,2008,1,2,1,49,-5,53,2
181,2008-01-03 08:15:00,0,-0.38,-0.34,1,0,0,0,0,1,1,2008,1,3,1,42,-20,-38,-2
182,2008-01-04 08:30:00,22_33,-2.44,-2.12,0,0,2,1,1,0,2,2008,1,4,2,126,20,68,2
183,2008-01-04 10:00:00,18,-0.15,-0.15,0,1,0,1,0,0,1,2008,1,4,1,77,-23,-13,-1
184,2008-01-08 10:00:00,24,-0.44,0.35,0,0,1,0,1,0,1,2008,2,1,1,36,20,-16,-1
185,2008-01-11 08:30:00,31,-1.65,-1.43,0,0,1,1,0,0,1,2008,2,4,1,34,0,6,0
186,2008-01-15 08:30:00,10_29_23,-2.7899999999999996,-2.92,0,0,3,1,0,2,3,2008,3,1,3,44,17,21,2
187,2008-01-16 08:30:00,7,-0.45,-0.45,1,0,0,1,0,0,1,2008,3,2,1,42,18,11,1
188,2008-01-16 09:00:00,30,0.53,0.68,0,1,0,1,0,0,1,2008,3,2,1,39,1,24,2
189,2008-01-17 08:30:00,3,-1.15,-0.99,0,0,1,1,0,0,1,2008,3,3,1,42,8,-35,-2
190,2008-01-18 10:00:00,28,1.53,1.45,0,1,0,0,1,0,1,2008,3,4,1,40,-24,-37,-2
191,2008-01-24 08:30:00,32,0.45,0.49,0,1,0,1,0,0,1,2008,4,3,1,38,-22,48,2
192,2008-01-24 10:00:00,14,-0.09,-0.15,0,0,1,1,0,0,1,2008,4,3,1,35,13,15,1
193,2008-01-28 10:00:00,21,-0.48,0.01,0,0,1,0,0,1,1,2008,5,0,1,62,42,15,1
194,2008-01-29 08:30:00,8,1.6,1.47,0,1,0,0,1,0,1,2008,5,1,1,28,-12,-7,0
195,2008-01-29 10:00:00,4,0.86,1.12,0,1,0,0,1,0,1,2008,5,1,1,18,-1,-4,0
196,2008-01-30 08:15:00,0,0.84,0.84,0,1,0,1,0,0,1,2008,5,2,1,42,8,-28,-2
197,2008-01-30 08:30:00,1,-1.33,-0.26,0,0,1,0,1,0,1,2008,5,2,1,52,-37,11,1
198,2008-01-30 14:15:00,15,0.45,1.73,1,0,0,1,0,0,1,2008,5,2,1,80,9,80,2
199,2008-02-01 08:30:00,22_33,-0.47,0.51,0,1,1,1,1,0,2,2008,5,4,2,71,1,-31,-2
200,2008-02-01 10:00:00,17,1.61,1.61,0,1,0,1,0,0,1,2008,5,4,1,115,-72,-16,-1
201,2008-02-05 10:00:00,18,-1.73,-1.72,0,0,1,1,0,0,1,2008,6,1,1,70,-36,-6,0
202,2008-02-07 08:30:00,32,-0.41,-0.4,0,0,1,1,0,0,1,2008,6,3,1,47,-12,-51,-2
203,2008-02-07 10:00:00,24,0.03,-0.62,0,0,1,0,0,1,1,2008,6,3,1,34,8,0,0
204,2008-02-13 08:30:00,10_29,1.26,1.2,0,2,0,1,1,0,2,2008,7,2,2,23,7,-29,-2
205,2008-02-14 08:30:00,31,0.84,0.69,0,1,0,1,0,0,1,2008,7,3,1,31,11,-30,-2
206,2008-02-15 09:00:00,30,0.04,0.12,0,0,1,1,0,0,1,2008,7,4,1,28,7,2,0
207,2008-02-15 09:55:00,28,-1.06,-1.16,0,0,1,0,0,1,1,2008,7,4,1,21,2,13,1
208,2008-02-20 08:30:00,7_3,1.6400000000000001,1.26,1,1,0,2,0,0,2,2008,8,2,2,49,12,-14,-1
209,2008-02-25 10:00:00,14,1.15,1.11,0,1,0,1,0,0,1,2008,9,0,1,34,-4,8,0
210,2008-02-26 08:30:00,23,0.91,0.91,0,1,0,1,0,0,1,2008,9,1,1,29,-12,8,0
211,2008-02-26 10:00:00,4,-1.34,-1.31,0,0,1,0,0,1,1,2008,9,1,1,33,-5,6,0
212,2008-02-27 08:30:00,8,0.24,-0.22,0,0,1,0,0,1,1,2008,9,2,1,32,7,12,1
213,2008-02-27 10:00:00,21,0.57,1.57,0,0,1,1,0,0,1,2008,9,2,1,74,42,19,1
214,2008-02-28 08:30:00,26,-0.96,0.67,0,0,1,1,0,0,1,2008,9,3,1,53,24,24,2
215,2008-03-03 10:00:00,17,-0.07,-0.07,1,0,0,1,0,0,1,2008,10,0,1,63,49,-61,-2
216,2008-03-05 08:15:00,0,-1.6,-1.58,0,0,1,0,0,1,1,2008,10,2,1,32,11,34,2
217,2008-03-05 10:00:00,18,0.7,0.72,0,1,0,1,0,0,1,2008,10,2,1,23,10,26,2
218,2008-03-06 10:00:00,24,0.52,-0.36,0,1,0,0,1,0,1,2008,10,3,1,41,1,11,1
219,2008-03-07 08:30:00,22_33,-0.5,-0.5,0,1,1,2,0,0,2,2008,10,4,2,67,18,-35,-2
220,2008-03-11 08:30:00,31,0.22,0.36,0,1,0,0,1,0,1,2008,11,1,1,67,-12,-73,-2
221,2008-03-13 08:30:00,10_29,-1.77,-1.45,0,0,2,0,2,0,2,2008,11,3,2,48,-3,4,0
222,2008-03-14 08:30:00,7,-1.63,-1.63,0,0,1,1,0,0,1,2008,11,4,1,52,35,-28,-2
223,2008-03-14 09:55:00,28,0.46,0.56,0,1,0,0,1,0,1,2008,11,4,1,103,68,27,2
224,2008-03-17 09:00:00,30,-0.17,-0.08,0,1,0,1,0,0,1,2008,12,0,1,61,-17,-40,-2
