,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,pips_agg_0_60_after,direction_agg_0_60_after
98,2007-09-14 10:00:00,28,-0.01,-0.09,1,0,0,1,0,0,1,2007,37,4,1,11,0,0,14,-7,-8,20,-22,-14,-17,-1
99,2007-09-18 08:30:00,23,-1.38,-1.38,0,0,1,1,0,0,1,2007,38,1,1,16,7,8,19,16,8,14,8,-6,10,1
100,2007-09-18 09:00:00,30,-1.45,-1.45,0,0,1,0,0,1,1,2007,38,1,1,20,15,12,10,12,-3,11,13,2,-4,0
101,2007-09-18 14:15:00,15,-1.79,-1.79,0,0,1,1,0,0,1,2007,38,1,1,75,41,39,24,32,-9,23,50,19,84,2
102,2007-09-19 08:30:00,7,0.45,0.45,1,0,0,1,0,0,1,2007,38,2,1,18,-3,-3,24,-20,-17,11,-18,1,1,0
103,2007-09-26 08:30:00,8,-0.11,-0.12,0,0,1,0,0,1,1,2007,39,2,1,14,-5,-6,11,-9,-4,6,-8,-1,-11,-1
104,2007-09-27 10:00:00,21,-0.62,-0.42,0,0,1,0,0,1,1,2007,39,3,1,17,-11,-12,13,-13,-2,9,-10,2,-21,-2
105,2007-09-28 08:30:00,9,1.1,0.24,1,0,0,1,0,0,1,2007,39,4,1,13,-9,-7,13,-2,6,9,1,5,12,1
106,2007-10-01 10:00:00,17,-0.6,-0.6,0,0,1,1,0,0,1,2007,40,0,1,14,9,8,13,14,3,8,13,0,15,1
107,2007-10-02 10:00:00,24,0.08,0.1,0,0,1,0,1,0,1,2007,40,1,1,18,-6,-8,12,-14,-7,13,-17,-3,-27,-2
108,2007-10-03 08:15:00,0,0.21,-0.14,1,0,0,0,0,1,1,2007,40,2,1,11,-5,-7,10,0,4,9,-1,0,-8,0
109,2007-10-03 10:00:00,18,-0.27,-0.27,1,0,0,1,0,0,1,2007,40,2,1,13,-11,-11,13,-16,-7,11,-11,5,-38,-2
110,2007-10-11 08:30:00,31,-0.29,-0.27,0,1,0,1,0,0,1,2007,41,3,1,20,-18,-18,15,-3,10,26,-19,-16,-36,-2
111,2007-10-12 10:00:00,28,-0.2,-0.11,0,0,1,1,0,0,1,2007,41,4,1,14,4,3,22,-7,-12,13,0,7,-10,-1
112,2007-10-16 09:00:00,30,-1.52,-1.44,0,0,1,1,0,0,1,2007,42,1,1,33,23,23,13,23,2,16,13,-9,5,0
113,2007-10-17 08:30:00,7,0.45,0.45,1,0,0,1,0,0,1,2007,42,2,1,20,-2,-2,17,-4,-3,19,5,10,14,1
114,2007-10-24 10:00:00,14,-1.53,-1.55,0,0,1,1,0,0,1,2007,43,2,1,20,-4,-7,14,-8,-4,13,-15,-5,-26,-2
115,2007-10-25 08:30:00,8,0.07,0.34,0,0,1,0,1,0,1,2007,43,3,1,13,2,2,24,21,19,24,27,4,14,1
116,2007-10-25 10:00:00,21,0.27,-0.54,1,0,0,0,0,1,1,2007,43,3,1,13,-7,-6,12,-2,5,17,6,9,-11,-1
117,2007-10-30 10:00:00,4,-0.64,-0.61,0,0,1,1,0,0,1,2007,44,1,1,21,18,17,8,18,0,11,11,-6,13,1
118,2007-10-31 08:30:00,1,0.85,1.06,0,1,0,0,1,0,1,2007,44,2,1,14,-8,-6,24,-21,-12,12,-24,-3,4,0
119,2007-10-31 14:15:00,15,0.45,0.45,1,0,0,1,0,0,1,2007,44,2,1,25,1,3,19,-1,-4,9,-1,0,27,2
