,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,pips_agg_0_60_after,direction_agg_0_60_after
129,2007-04-10 10:00:00,37,-1.45,-1.45,0,0,1,1,0,0,0,1,0,2007,15,1,1,8,0
130,2007-04-11 10:30:00,18,0.59,0.59,1,0,0,1,0,0,0,1,0,2007,15,2,1,7,0
131,2007-04-11 14:00:00,25,-1.36,-1.36,0,0,2,2,0,0,0,0,1,2007,15,2,1,-1,0
132,2007-04-12 08:30:00,69_41,-0.06000000000000005,0.08000000000000007,0,2,1,3,0,0,0,1,1,2007,15,3,2,-2,0
133,2007-04-12 10:30:00,46,0.42,0.42,1,0,0,1,0,0,0,1,0,2007,15,3,1,10,1
134,2007-04-13 08:30:00,68_49_16,-1.27,-1.54,0,6,2,8,0,0,2,0,1,2007,15,4,3,10,1
135,2007-04-13 10:00:00,58,-1.56,-0.66,0,0,3,3,0,0,1,0,0,2007,15,4,1,-23,-2
136,2007-04-16 08:30:00,17_60_21,2.7,7.830000000000001,3,3,2,2,6,0,2,0,1,2007,16,0,3,3,0
137,2007-04-16 09:00:00,66,-0.96,-1.3800000000000001,0,0,3,3,0,0,1,0,0,2007,16,0,1,-4,0
138,2007-04-16 10:00:00,5,-0.88,-0.92,0,0,2,2,0,0,0,0,1,2007,16,0,1,5,0
139,2007-04-16 13:00:00,44,-0.96,-0.85,0,0,1,1,0,0,0,1,0,2007,16,0,1,0,0
140,2007-04-17 08:30:00,13_4_8_36,-5.16,-4.9,4,2,3,9,0,0,1,0,3,2007,16,1,4,36,2
141,2007-04-17 09:15:00,9_42,-2.38,-3.0,0,0,4,0,0,4,0,0,2,2007,16,1,2,-2,0
142,2007-04-18 10:30:00,18,0.89,0.89,1,0,0,1,0,0,0,1,0,2007,16,2,1,0,0
143,2007-04-19 08:30:00,69,-0.56,-0.5,0,0,1,1,0,0,0,1,0,2007,16,3,1,-11,-1
144,2007-04-19 10:00:00,7,-0.39,0.16,0,0,1,0,0,1,0,1,0,2007,16,3,1,20,1
145,2007-04-19 10:30:00,46,0.45,0.45,1,0,0,1,0,0,0,1,0,2007,16,3,1,13,1
146,2007-04-19 12:00:00,53,-1.02,-1.02,0,0,2,2,0,0,0,0,1,2007,16,3,1,-1,0
