,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_60_after,direction_agg_0_60_after
152,2007-06-13 10:00:00,5,-0.85,-1.19,0,0,1,0,0,1,0,0,1,2007,24,2,1,11,-3,11,1
153,2007-06-13 10:30:00,18,-0.68,-0.68,1,0,0,1,0,0,0,1,0,2007,24,2,1,21,14,-10,-1
154,2007-06-14 10:30:00,46,1.32,1.32,1,0,0,1,0,0,0,1,0,2007,24,3,1,20,15,-9,0
155,2007-06-15 09:00:00,66,0.2,-0.19,0,1,0,0,0,1,1,0,0,2007,24,4,1,31,22,-1,0
156,2007-06-15 10:00:00,58,-1.15,-0.74,0,0,1,1,0,0,1,0,0,2007,24,4,1,29,0,24,2
157,2007-06-18 13:00:00,44,-0.11,-0.06,0,0,1,1,0,0,0,1,0,2007,25,0,1,12,9,2,0
158,2007-06-20 10:30:00,18,1.51,1.51,1,0,0,1,0,0,0,1,0,2007,25,2,1,13,-2,-5,0
159,2007-06-21 08:30:00,69,-1.43,-1.37,0,0,1,1,0,0,0,0,1,2007,25,3,1,26,17,2,0
160,2007-06-21 10:00:00,7,0.89,0.63,0,1,0,0,1,0,0,1,0,2007,25,3,1,11,-1,1,0
161,2007-06-21 10:30:00,46,0.16,0.16,1,0,0,1,0,0,0,1,0,2007,25,3,1,6,1,0,0
162,2007-06-21 12:00:00,53,1.51,1.51,0,1,0,1,0,0,0,0,1,2007,25,3,1,15,-4,0,0
163,2007-06-25 10:00:00,23,0.09,-0.04,0,1,0,1,0,0,1,0,0,2007,26,0,1,8,-1,-10,-1
164,2007-06-26 09:00:00,65,0.62,0.64,1,0,0,1,0,0,0,1,0,2007,26,1,1,19,10,1,0
165,2007-06-27 10:30:00,18,-0.52,-0.52,1,0,0,1,0,0,0,1,0,2007,26,2,1,8,-2,-5,0
166,2007-06-28 10:30:00,46,-1.59,-1.59,1,0,0,1,0,0,0,1,0,2007,26,3,1,8,-5,0,0
167,2007-06-28 14:15:00,26,0.0,0.0,1,0,0,1,0,0,1,0,0,2007,26,3,1,17,-14,-10,-1
168,2007-06-29 09:45:00,10,-0.27,-0.27,0,1,0,1,0,0,0,0,1,2007,26,4,1,18,9,-6,0
169,2007-07-03 01:00:00,67,-1.47,-1.47,0,0,1,1,0,0,0,1,0,2007,27,1,1,7,-4,9,0
170,2007-07-05 08:15:00,0,1.65,1.41,0,1,0,1,0,0,0,0,1,2007,27,3,1,16,8,-25,-2
171,2007-07-05 08:30:00,69,-0.33,-0.41,1,0,0,1,0,0,0,0,1,2007,27,3,1,14,0,-30,-2
172,2007-07-05 10:00:00,40,0.47,0.47,0,1,0,1,0,0,1,0,0,2007,27,3,1,27,-19,-10,-1
173,2007-07-05 10:30:00,18,-1.67,-1.67,1,0,0,1,0,0,0,1,0,2007,27,3,1,32,-22,5,0
174,2007-07-06 10:30:00,46,0.77,0.77,1,0,0,1,0,0,0,1,0,2007,27,4,1,39,34,-2,0
175,2007-07-09 15:00:00,12,0.5,0.23,0,1,0,0,0,1,0,1,0,2007,28,0,1,5,3,-2,0
176,2007-07-10 10:00:00,31,0.39,0.38,0,0,1,1,0,0,0,1,0,2007,28,1,1,57,48,21,2
177,2007-07-11 10:30:00,18,0.12,0.12,1,0,0,1,0,0,0,1,0,2007,28,2,1,14,1,-13,-1
178,2007-07-12 10:30:00,46,-0.58,-0.58,1,0,0,1,0,0,0,1,0,2007,28,3,1,14,-3,-3,0
179,2007-07-12 14:00:00,25,-0.28,-0.28,1,0,0,1,0,0,0,0,1,2007,28,3,1,6,-1,0,0
180,2007-07-16 08:30:00,21,0.47,0.47,0,1,0,1,0,0,0,0,1,2007,29,0,1,12,-6,0,0
181,2007-07-17 09:00:00,66,0.78,0.72,0,1,0,0,0,1,1,0,0,2007,29,1,1,21,9,0,0
182,2007-07-17 10:00:00,37,-0.27,-0.27,0,0,1,1,0,0,0,1,0,2007,29,1,1,12,2,4,0
183,2007-07-17 13:00:00,44,-1.49,-1.47,0,0,1,1,0,0,0,1,0,2007,29,1,1,5,2,-2,0
184,2007-07-18 10:30:00,18,0.24,0.24,1,0,0,1,0,0,0,1,0,2007,29,2,1,31,21,10,1
185,2007-07-19 08:30:00,69,1.21,1.24,0,1,0,1,0,0,0,0,1,2007,29,3,1,19,10,-1,0
186,2007-07-19 10:00:00,7,-0.78,-0.77,0,0,1,0,0,1,0,1,0,2007,29,3,1,12,-1,-2,0
187,2007-07-19 10:30:00,46,0.93,0.93,1,0,0,1,0,0,0,1,0,2007,29,3,1,11,2,-1,0
188,2007-07-19 12:00:00,53,-0.25,-0.25,0,0,1,1,0,0,0,0,1,2007,29,3,1,18,-7,4,0
189,2007-07-24 10:00:00,64,0.22,0.22,1,0,0,1,0,0,0,1,0,2007,30,1,1,18,-3,-9,0
190,2007-07-25 10:00:00,23,-0.23,-0.23,0,0,1,1,0,0,1,0,0,2007,30,2,1,27,-10,-20,-1
191,2007-07-25 10:30:00,18,0.48,0.48,1,0,0,1,0,0,0,1,0,2007,30,2,1,31,-21,-10,-1
192,2007-07-26 10:00:00,47,-0.48,-0.35,0,0,1,0,0,1,1,0,0,2007,30,3,1,39,4,3,0
193,2007-07-26 10:30:00,46,0.21,0.21,1,0,0,1,0,0,0,1,0,2007,30,3,1,39,6,-8,0
194,2007-07-27 10:00:00,63,-1.47,-1.57,0,0,1,1,0,0,0,0,1,2007,30,4,1,19,3,7,0
195,2007-07-31 09:00:00,65,0.46,0.55,1,0,0,0,0,1,0,1,0,2007,31,1,1,21,3,-3,0
196,2007-07-31 09:45:00,10,-1.14,-1.14,0,0,1,1,0,0,0,0,1,2007,31,1,1,20,3,-13,-1
197,2007-08-01 01:00:00,67,-1.35,-1.35,0,0,1,1,0,0,0,1,0,2007,31,2,1,13,-4,-4,0
198,2007-08-01 08:15:00,0,-1.0,-1.31,0,0,1,0,0,1,0,0,1,2007,31,2,1,26,13,25,2
199,2007-08-01 10:30:00,18,0.97,0.97,1,0,0,1,0,0,0,1,0,2007,31,2,1,24,11,-22,-2
200,2007-08-02 08:30:00,69,0.2,0.17,0,1,0,1,0,0,0,0,1,2007,31,3,1,15,-6,-2,0
201,2007-08-02 10:00:00,24,-0.69,-0.84,0,0,1,1,0,0,0,0,1,2007,31,3,1,26,6,6,0
202,2007-08-02 10:30:00,46,-0.51,-0.51,1,0,0,1,0,0,0,1,0,2007,31,3,1,17,8,11,1
203,2007-08-03 10:00:00,40,-1.21,-1.21,0,0,1,1,0,0,1,0,0,2007,31,4,1,39,26,24,2
204,2007-08-07 14:15:00,26,0.0,0.0,1,0,0,1,0,0,1,0,0,2007,32,1,1,20,-3,26,2
205,2007-08-07 15:00:00,12,0.56,0.47,0,1,0,0,1,0,0,1,0,2007,32,1,1,37,13,-15,-1
206,2007-08-08 10:00:00,31,-0.67,-0.48,0,0,1,1,0,0,0,1,0,2007,32,2,1,31,16,-7,0
207,2007-08-08 10:30:00,18,-0.13,-0.13,1,0,0,1,0,0,0,1,0,2007,32,2,1,28,-12,2,0
208,2007-08-09 08:30:00,69,-1.7,-1.67,0,0,1,1,0,0,0,0,1,2007,32,3,1,34,-13,-34,-2
209,2007-08-09 10:30:00,46,1.49,1.49,1,0,0,1,0,0,0,1,0,2007,32,3,1,41,22,3,0
210,2007-08-10 08:30:00,41,-0.61,-0.58,0,1,0,1,0,0,0,0,1,2007,32,4,1,39,1,12,1
211,2007-08-10 14:00:00,25,0.05,0.05,1,0,0,1,0,0,0,0,1,2007,32,4,1,21,6,7,0
212,2007-08-13 10:00:00,5,0.14,0.19,1,0,0,1,0,0,0,0,1,2007,33,0,1,29,-13,-27,-2
213,2007-08-14 10:00:00,37,0.72,0.72,0,1,0,1,0,0,0,1,0,2007,33,1,1,20,8,-8,0
214,2007-08-15 09:00:00,66,1.13,1.2,0,1,0,1,0,0,1,0,0,2007,33,2,1,25,-9,18,1
215,2007-08-15 10:30:00,18,-0.1,-0.1,1,0,0,1,0,0,0,1,0,2007,33,2,1,46,32,-18,-1
