,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_60_after,direction_agg_0_60_after
70,2007-05-29 10:00:00,4,1.08,1.33,0,1,0,0,1,0,1,2007,22,1,1,13,-14,-11,4,-15,-2,3,-12,3,1,-11,0,5,-15,-4,6,-21,-5,17,-2,-17,-1
71,2007-05-30 08:15:00,0,0.21,0.35,0,0,1,1,0,0,1,2007,22,2,1,5,4,4,6,2,-1,2,2,0,4,4,1,4,2,-2,3,1,-1,23,-12,5,0
72,2007-05-31 08:30:00,26,-0.71,0.71,0,0,1,1,0,0,1,2007,22,3,1,8,5,2,6,6,2,5,5,0,3,5,1,6,0,-4,4,2,2,29,19,0,0
73,2007-06-01 08:30:00,9_22_33,-0.19000000000000006,-0.8300000000000001,1,1,1,2,0,1,3,2007,22,4,3,35,22,24,17,9,-15,9,-2,-9,15,-16,-11,8,-15,1,7,-12,2,35,-2,-7,0
74,2007-06-01 10:00:00,17_24,0.04,0.03,0,1,1,1,1,0,2,2007,22,4,2,19,-8,-7,20,-25,-17,8,-31,-6,11,-22,9,6,-27,-5,5,-29,-2,23,-4,-3,0
75,2007-06-05 10:00:00,18,1.09,1.09,0,1,0,1,0,0,1,2007,23,1,1,10,-3,3,3,-2,1,4,-2,0,6,-6,-3,12,-12,-5,3,-14,-1,24,-19,0,0
76,2007-06-08 08:30:00,31,1.4,1.48,0,1,0,0,1,0,1,2007,23,4,1,12,-10,-9,7,-10,0,11,-18,-9,3,-15,2,3,-16,-1,6,-20,-5,33,21,-4,0
77,2007-06-13 08:30:00,10_29,2.6799999999999997,0.76,0,2,0,0,2,0,2,2007,24,2,2,14,-14,-11,13,-2,12,18,10,11,14,-3,-11,9,1,4,12,-9,-10,23,2,4,0
78,2007-06-14 08:30:00,23,-0.19,-0.19,0,1,0,1,0,0,1,2007,24,3,1,17,-17,-16,14,-1,13,17,10,12,6,3,-5,6,-4,-6,5,-6,-3,32,-11,-2,0
79,2007-06-15 08:30:00,7,-0.96,-1.1,0,0,1,1,0,0,1,2007,24,4,1,17,-2,-4,13,5,7,11,13,9,9,21,8,8,15,-4,7,16,1,27,9,29,2
80,2007-06-15 09:00:00,30,0.2,-0.19,0,1,0,0,0,1,1,2007,24,4,1,9,1,2,4,-2,-2,4,1,2,18,20,16,10,15,-7,3,14,-1,31,22,-1,0
81,2007-06-15 10:00:00,28,-1.15,-0.74,0,0,1,1,0,0,1,2007,24,4,1,11,10,8,9,4,-6,5,8,5,3,8,0,6,9,0,5,12,4,29,0,24,2
82,2007-06-25 10:00:00,14,0.09,-0.04,0,1,0,1,0,0,1,2007,26,0,1,7,2,1,3,3,1,7,-4,-6,4,0,4,3,-1,0,3,0,1,8,-1,-10,-1
83,2007-06-26 10:00:00,21_4,-0.54,-0.59,0,0,2,0,1,1,2,2007,26,1,2,15,-8,-9,5,-6,1,4,-7,-2,4,-9,-2,4,-8,1,2,-9,-1,15,4,-9,0
84,2007-06-27 08:30:00,8,-0.32,-0.14,0,0,1,0,1,0,1,2007,26,2,1,8,3,2,5,1,-2,5,-1,-1,7,-8,-6,7,-2,5,6,-8,-6,22,3,-3,0
85,2007-06-28 14:15:00,15,0.0,0.0,1,0,0,1,0,0,1,2007,26,3,1,12,2,4,8,7,4,5,7,1,7,2,-4,5,-2,-4,3,-2,0,17,-14,-10,-1
86,2007-06-29 08:30:00,9,0.15,0.28,1,0,0,1,0,0,1,2007,26,4,1,9,-5,-6,6,-2,3,7,-6,-3,3,-5,1,4,-2,3,2,0,1,22,13,4,0
87,2007-07-02 10:00:00,17,-0.37,-0.37,0,1,0,1,0,0,1,2007,27,0,1,6,0,-1,2,-1,-1,13,10,10,8,14,4,5,13,-1,8,21,8,10,-3,23,2
88,2007-07-03 10:00:00,24,0.31,0.31,0,0,1,0,0,1,1,2007,27,1,1,8,-3,-5,7,-11,-6,7,-4,7,4,-7,-3,2,-7,1,7,-12,-5,13,-1,-10,-1
