,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_min_0_30_after,reaction_min_0_30_after
4063,2014-09-04 09:45:00,30,2.21,3,-1.63,0,0,1,0,1,0,0,0,1,0,2014,36,3,1,21,-4,-12,0
4064,2014-09-04 10:00:00,40,6.8999999999999995,3,0.0,0,0,3,0,3,0,0,1,0,0,2014,36,3,1,25,-10,-7,0
4065,2014-09-04 10:30:00,46,-4.62,0,0.0,0,1,0,0,1,0,0,0,1,0,2014,36,3,1,40,-20,-32,1
4066,2014-09-04 11:00:00,18,0.0,2,0.0,0,2,0,0,2,0,0,0,0,1,2014,36,3,1,58,-42,-9,0
4067,2014-09-05 08:30:00,48_70_3,-5.43,3,3.5800000000000005,0,5,0,3,6,2,0,2,0,1,2014,36,4,3,45,-12,-29,1
4068,2014-09-08 15:00:00,12,1.63,1,0.76,1,0,1,0,0,1,0,0,1,0,2014,37,0,1,9,3,-6,0
4069,2014-09-09 07:30:00,45,-0.17,0,0.0,0,1,0,0,1,0,0,0,1,0,2014,37,1,1,11,-3,-1,0
4070,2014-09-09 10:00:00,43,-0.42,0,-0.2,0,2,0,0,2,0,0,0,0,1,2014,37,1,1,14,5,-5,0
4071,2014-09-10 10:00:00,31,1.02,1,0.56,0,0,1,0,0,1,0,0,1,0,2014,37,2,1,37,28,-8,0
4072,2014-09-10 10:30:00,18,0.0,2,0.0,0,2,0,0,2,0,0,0,0,1,2014,37,2,1,29,19,-15,0
4073,2014-09-11 08:30:00,69,-3.09,0,-13.41,0,0,0,3,3,0,0,1,0,0,2014,37,3,1,21,9,-10,0
4074,2014-09-11 10:30:00,46,-4.47,0,0.0,0,1,0,0,1,0,0,0,1,0,2014,37,3,1,33,6,-5,0
4075,2014-09-11 14:00:00,25,0.21,0,0.0,0,0,1,0,1,0,0,0,1,0,2014,37,3,1,18,-14,-4,0
4076,2014-09-12 08:30:00,17_60_41,3.73,0,6.91,3,2,6,0,2,6,0,2,0,1,2014,37,4,3,17,-8,-14,0
4077,2014-09-12 09:55:00,58,2.19,0,10.86,3,0,3,0,0,3,0,1,0,0,2014,37,4,1,34,-17,-5,0
4078,2014-09-12 10:00:00,5,1.64,0,0.0,0,0,2,0,2,0,0,0,0,1,2014,37,4,1,31,-13,-10,0
4079,2014-09-15 08:30:00,21,2.52,2,0.0,0,0,2,0,2,0,0,0,0,1,2014,38,0,1,15,-9,-4,0
4080,2014-09-15 09:15:00,9_42,-4.6,4,-2.92,2,0,0,4,2,0,2,0,0,2,2014,38,0,2,22,7,-10,0
4081,2014-09-16 08:30:00,49_16,-1.02,0,0.0,0,2,0,3,5,0,0,1,0,1,2014,38,1,2,14,6,-12,0
4082,2014-09-16 16:00:00,66,-1.86,2,0.0,0,0,0,2,2,0,0,0,0,1,2014,38,1,1,8,-1,-3,0
4083,2014-09-17 08:30:00,13_8_19,-12.260000000000002,8,3.5,6,0,2,6,6,2,0,2,0,1,2014,38,2,3,19,1,-16,0
4084,2014-09-17 10:00:00,44,1.98,2,0.0,0,0,2,0,2,0,0,0,0,1,2014,38,2,1,15,0,-3,0
4085,2014-09-17 10:30:00,18,-5.68,2,0.0,0,2,0,0,2,0,0,0,0,1,2014,38,2,1,15,-1,-7,0
4086,2014-09-17 14:00:00,26,0.0,0,0.0,0,3,0,0,3,0,0,1,0,0,2014,38,2,1,83,4,-12,0
4087,2014-09-18 08:30:00,69_4_36,30.04,5,-0.05999999999999961,2,0,3,5,6,2,0,2,0,1,2014,38,3,3,29,-15,-1,0
4088,2014-09-18 10:00:00,53,-0.30000000000000004,0,0.0,0,0,0,3,3,0,0,1,0,0,2014,38,3,1,17,5,-7,0
