,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_30_after,direction_agg_0_30_after
185,2008-03-18 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2008,12,1,1,59,-16,-1,1
186,2008-03-24 10:00:00,14,1.59,1,0.0,0,0,1,0,1,0,0,1,2008,13,0,1,63,-13,-30,0
187,2008-03-25 10:00:00,4,-2.39,2,1.31,1,0,0,1,0,1,0,1,2008,13,1,1,30,-1,10,2
188,2008-03-26 08:30:00,8,-1.49,1,1.13,1,0,0,1,0,1,0,1,2008,13,2,1,38,-3,-13,0
189,2008-03-26 10:00:00,21,0.43,1,0.6,1,0,1,0,0,1,0,1,2008,13,2,1,32,3,-1,1
190,2008-03-27 08:30:00,32,-0.29,0,-6.71,1,1,0,0,1,0,0,1,2008,13,3,1,55,-16,-49,0
191,2008-04-01 10:00:00,17,0.48,1,0.0,0,0,1,0,1,0,0,1,2008,14,1,1,34,-7,-37,0
192,2008-04-02 08:15:00,0,0.98,1,-0.83,0,0,1,0,1,0,0,1,2008,14,2,1,80,-31,-29,0
193,2008-04-03 10:00:00,18,0.94,0,0.0,0,0,1,0,1,0,0,1,2008,14,3,1,42,21,-36,0
194,2008-04-08 10:00:00,24,-0.6,0,1.21,0,0,0,1,0,1,0,1,2008,15,1,1,45,35,-1,1
195,2008-04-11 09:55:00,28,-1.18,1,-0.66,0,0,0,1,0,0,1,1,2008,15,4,1,39,5,6,1
196,2008-04-15 08:30:00,23,1.43,0,0.0,0,0,1,0,1,0,0,1,2008,16,1,1,42,0,-19,0
197,2008-04-15 09:00:00,30,0.35,0,-8.57,1,0,1,0,0,0,1,1,2008,16,1,1,56,-8,-30,0
198,2008-04-17 08:30:00,32,-0.18,0,-2.39,0,1,0,0,1,0,0,1,2008,16,3,1,85,-40,22,2
199,2008-04-22 10:00:00,14,0.31,0,0.0,0,0,1,0,1,0,0,1,2008,17,1,1,56,20,23,2
200,2008-04-24 08:30:00,8,0.54,1,0.87,0,0,1,0,0,1,0,1,2008,17,3,1,55,21,-42,0
201,2008-04-24 10:00:00,21,-1.73,1,-0.6,0,0,0,1,0,0,1,1,2008,17,3,1,69,-1,0,1
202,2008-04-29 10:00:00,4,-0.08,0,1.25,1,1,0,0,0,1,0,1,2008,18,1,1,48,33,8,1
203,2008-04-30 08:15:00,0,1.43,1,-0.87,0,0,1,0,1,0,0,1,2008,18,2,1,42,-13,9,1
204,2008-04-30 08:30:00,1,0.63,0,0.0,0,0,1,0,1,0,0,1,2008,18,2,1,48,-22,28,2
205,2008-04-30 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2008,18,2,1,49,-3,58,2
206,2008-05-01 10:00:00,17,0.26,0,0.0,0,0,1,0,1,0,0,1,2008,18,3,1,46,-10,-28,0
207,2008-05-05 10:00:00,18,2.86,1,0.0,0,0,1,0,1,0,0,1,2008,19,0,1,44,1,-21,0
208,2008-05-07 10:00:00,24,0.0,0,-3.07,1,1,0,0,0,0,1,1,2008,19,2,1,31,14,-17,0
209,2008-05-09 08:30:00,31,1.31,1,-1.65,1,0,1,0,1,0,0,1,2008,19,4,1,28,-1,-15,0
210,2008-05-14 08:30:00,7,-1.1,3,0.0,0,0,0,1,1,0,0,1,2008,20,2,1,40,-9,28,2
211,2008-05-15 09:00:00,30,0.55,0,-3.49,1,0,1,0,0,0,1,1,2008,20,3,1,47,13,15,2
212,2008-05-16 08:30:00,3,2.0,1,0.0,0,0,1,0,1,0,0,1,2008,20,4,1,40,29,-49,0
213,2008-05-16 09:55:00,28,-0.49,0,-0.4,0,0,0,1,0,0,1,1,2008,20,4,1,48,26,59,2
