,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
1,clf,svc-rbf,all,High_YES_1_1_1,60_240,included,basic,0.45,"{'C': 1, 'gamma': 1}",0.46,0.21,0.00,0.46,0.00,104.00,178.00,107.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 104}, '1': {'precision': 0.45758354755784064, 'recall': 1.0, 'f1-score': 0.6278659611992945, 'support': 178}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 107}, 'micro avg': {'precision': 0.45758354755784064, 'recall': 0.45758354755784064, 'f1-score': 0.45758354755784064, 'support': 389}, 'macro avg': {'precision': 0.1525278491859469, 'recall': 0.3333333333333333, 'f1-score': 0.20928865373309816, 'support': 389}, 'weighted avg': {'precision': 0.2093827029956186, 'recall': 0.45758354755784064, 'f1-score': 0.2873011339163867, 'support': 389}}",0.33
2,clf,dtree,all,High_YES_1_1_1,60_240,included,basic,0.59,"{'max_depth': 2, 'min_samples_leaf': 200}",0.58,0.59,0.60,0.56,0.62,104.00,178.00,107.00,"{'0': {'precision': 0.6, 'recall': 0.46153846153846156, 'f1-score': 0.5217391304347826, 'support': 104}, '1': {'precision': 0.5604838709677419, 'recall': 0.7808988764044944, 'f1-score': 0.6525821596244131, 'support': 178}, '2': {'precision': 0.6229508196721312, 'recall': 0.35514018691588783, 'f1-score': 0.45238095238095233, 'support': 107}, 'micro avg': {'precision': 0.5784061696658098, 'recall': 0.5784061696658098, 'f1-score': 0.5784061696658098, 'support': 389}, 'macro avg': {'precision': 0.594478230213291, 'recall': 0.5325258416196147, 'f1-score': 0.5422340808133826, 'support': 389}, 'weighted avg': {'precision': 0.5882310198899129, 'recall': 0.5784061696658098, 'f1-score': 0.5625327914733286, 'support': 389}}",0.07
3,clf,rforest,all,High_YES_1_1_1,60_240,included,basic,0.59,"{'max_depth': 6, 'min_samples_leaf': 20, 'n_estimators': 200}",0.58,0.58,0.61,0.59,0.55,104.00,178.00,107.00,"{'0': {'precision': 0.6142857142857143, 'recall': 0.41346153846153844, 'f1-score': 0.4942528735632184, 'support': 104}, '1': {'precision': 0.5879828326180258, 'recall': 0.7696629213483146, 'f1-score': 0.6666666666666667, 'support': 178}, '2': {'precision': 0.5465116279069767, 'recall': 0.4392523364485981, 'f1-score': 0.4870466321243523, 'support': 107}, 'micro avg': {'precision': 0.583547557840617, 'recall': 0.583547557840617, 'f1-score': 0.583547557840617, 'support': 389}, 'macro avg': {'precision': 0.5829267249369057, 'recall': 0.5407922654194838, 'f1-score': 0.5493220574514125, 'support': 389}, 'weighted avg': {'precision': 0.5836077189659882, 'recall': 0.583547557840617, 'f1-score': 0.5711644091376531, 'support': 389}}",3.95
4,clf,xgb,all,High_YES_1_1_1,60_240,included,basic,0.59,{'n_estimators': 10},0.60,0.59,0.59,0.61,0.57,104.00,178.00,107.00,"{'0': {'precision': 0.5949367088607594, 'recall': 0.4519230769230769, 'f1-score': 0.5136612021857923, 'support': 104}, '1': {'precision': 0.6105769230769231, 'recall': 0.7134831460674157, 'f1-score': 0.6580310880829016, 'support': 178}, '2': {'precision': 0.5686274509803921, 'recall': 0.5420560747663551, 'f1-score': 0.555023923444976, 'support': 107}, 'micro avg': {'precision': 0.596401028277635, 'recall': 0.596401028277635, 'f1-score': 0.596401028277635, 'support': 389}, 'macro avg': {'precision': 0.5913803609726915, 'recall': 0.5691540992522826, 'f1-score': 0.5755720712378899, 'support': 389}, 'weighted avg': {'precision': 0.5948566768229133, 'recall': 0.596401028277635, 'f1-score': 0.5910998933539622, 'support': 389}}",0.13
5,clf,gboosting,all,High_YES_1_1_1,60_240,included,basic,0.60,{'n_estimators': 10},0.60,0.60,0.61,0.60,0.58,104.00,178.00,107.00,"{'0': {'precision': 0.6075949367088608, 'recall': 0.46153846153846156, 'f1-score': 0.5245901639344263, 'support': 104}, '1': {'precision': 0.6046511627906976, 'recall': 0.7303370786516854, 'f1-score': 0.6615776081424936, 'support': 178}, '2': {'precision': 0.5789473684210527, 'recall': 0.514018691588785, 'f1-score': 0.5445544554455445, 'support': 107}, 'micro avg': {'precision': 0.5989717223650386, 'recall': 0.5989717223650386, 'f1-score': 0.5989717223650386, 'support': 389}, 'macro avg': {'precision': 0.5970644893068703, 'recall': 0.5686314105929773, 'f1-score': 0.5769074091741548, 'support': 389}, 'weighted avg': {'precision': 0.5983679918136718, 'recall': 0.5989717223650386, 'f1-score': 0.5927648278437466, 'support': 389}}",0.42
6,clf,ada,all,High_YES_1_1_1,60_240,included,basic,0.57,{'n_estimators': 10},0.58,0.58,0.64,0.58,0.54,104.00,178.00,107.00,"{'0': {'precision': 0.6428571428571429, 'recall': 0.34615384615384615, 'f1-score': 0.45, 'support': 104}, '1': {'precision': 0.57847533632287, 'recall': 0.7247191011235955, 'f1-score': 0.6433915211970075, 'support': 178}, '2': {'precision': 0.5363636363636364, 'recall': 0.5514018691588785, 'f1-score': 0.543778801843318, 'support': 107}, 'micro avg': {'precision': 0.5758354755784062, 'recall': 0.5758354755784062, 'f1-score': 0.5758354755784062, 'support': 389}, 'macro avg': {'precision': 0.5858987051812165, 'recall': 0.54075827214544, 'f1-score': 0.5457234410134418, 'support': 389}, 'weighted avg': {'precision': 0.5841045290836062, 'recall': 0.5758354755784062, 'f1-score': 0.564287975759132, 'support': 389}}",0.16
0,reg,kn,all,High_YES_1_1_1,60_240,included,basic,38.93,{'n_neighbors': 21},,,,,,,,,38.99,0.38
1,reg,svr-rbf,all,High_YES_1_1_1,60_240,included,basic,48.37,"{'C': 5, 'gamma': 1}",,,,,,,,,46.52,0.27
2,reg,dtree,all,High_YES_1_1_1,60_240,included,basic,37.12,"{'max_depth': 3, 'min_samples_leaf': 10}",,,,,,,,,38.38,0.07
3,reg,rforest,all,High_YES_1_1_1,60_240,included,basic,36.98,"{'max_depth': 4, 'min_samples_leaf': 10, 'n_estimators': 50}",,,,,,,,,37.77,7.53
4,reg,xgb,all,High_YES_1_1_1,60_240,included,basic,38.66,{'n_estimators': 50},,,,,,,,,36.63,0.04
5,reg,gboosting,all,High_YES_1_1_1,60_240,included,basic,38.65,{'n_estimators': 50},,,,,,,,,36.45,0.07
6,reg,ada,all,High_YES_1_1_1,60_240,included,basic,39.72,{'n_estimators': 10},,,,,,,,,39.28,0.12
