,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_30_120_after,reaction_max_30_120_after
76,2007-03-27 09:00:00,65,1.0,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,13,1,1,3,3,3,-1,4,-1,9,-8,3,-1,3,0,21,-5,27,1
77,2007-03-28 10:30:00,18,-1.22,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,13,2,1,18,10,9,-6,5,1,8,4,6,-2,5,1,16,0,-1,0
78,2007-03-29 10:30:00,46,-0.57,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,13,3,1,2,-1,1,1,5,4,3,-1,6,-3,4,-2,13,3,14,0
79,2007-03-30 09:45:00,10,2.0,0,0.0,0,0,2,0,2,0,0,0,0,1,2007,13,4,1,12,3,3,-1,6,4,17,-11,9,-6,5,1,18,1,101,1
80,2007-04-03 01:00:00,67,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,1,1,2,1,2,0,2,1,2,0,1,-1,2,1,4,0,8,0
81,2007-04-03 10:00:00,50,3.0,0,3.0,0,0,3,0,3,0,0,1,0,0,2007,14,1,1,5,-3,10,8,4,0,8,-6,2,0,3,1,10,1,5,0
82,2007-04-04 08:15:00,0,3.0,0,3.0,0,0,0,3,0,3,0,1,0,0,2007,14,2,1,7,6,3,2,3,0,2,-1,9,-9,6,-2,11,4,23,0
83,2007-04-04 10:30:00,18,-1.6,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,2,1,9,5,9,6,7,-5,3,0,9,-4,7,7,27,12,2,0
84,2007-04-05 08:30:00,69,-0.75,0,-2.24,0,0,0,1,1,0,0,0,1,0,2007,14,3,1,7,-4,4,4,5,0,3,1,7,6,4,-1,22,5,54,1
85,2007-04-05 10:30:00,46,-0.6,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,3,1,4,1,2,-1,2,1,3,2,3,0,3,0,17,3,0,0
86,2007-04-06 10:00:00,31,1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,14,4,1,8,-5,4,0,3,-1,5,3,4,-3,2,0,15,-10,8,0
87,2007-04-06 15:00:00,12,1.0,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,14,4,1,2,0,4,-1,5,3,4,1,1,0,2,-1,8,1,7,0
88,2007-04-10 10:00:00,37,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,15,1,1,6,-2,4,-1,6,4,3,2,2,-1,4,1,15,0,16,0
89,2007-04-11 10:30:00,18,-0.48,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,15,2,1,2,1,4,-3,3,2,3,2,9,5,6,3,12,1,0,0
90,2007-04-11 14:00:00,25,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,15,2,1,16,-10,4,0,13,-6,6,1,4,3,5,4,8,-2,9,0
91,2007-04-12 10:30:00,46,-0.75,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,15,3,1,5,2,20,14,9,-6,7,-5,6,5,7,4,29,19,0,0
