,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_0_30_after,reaction_max_0_30_after
183,2007-07-17 13:00:00,44,-1.2,1,0.0,0,0,0,1,1,0,0,0,1,0,2007,29,1,1,5,3,4,0
184,2007-07-18 10:30:00,18,-0.04,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,29,2,1,31,23,10,0
185,2007-07-19 08:30:00,69,1.92,1,-1.83,0,0,1,0,1,0,0,0,0,1,2007,29,3,1,19,15,15,0
186,2007-07-19 10:00:00,7,-1.65,1,-0.28,1,0,0,1,0,0,1,0,1,0,2007,29,3,1,12,-6,3,0
187,2007-07-19 10:30:00,46,-0.75,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,29,3,1,11,-1,11,0
188,2007-07-19 12:00:00,53,-0.75,1,0.0,0,0,0,1,1,0,0,0,0,1,2007,29,3,1,18,-9,3,0
189,2007-07-24 10:00:00,64,0.0,2,0.0,0,1,0,0,1,0,0,0,1,0,2007,30,1,1,18,0,7,0
190,2007-07-25 10:00:00,23,-0.39,1,-0.31,0,0,0,1,1,0,0,1,0,0,2007,30,2,1,27,-9,10,0
191,2007-07-25 10:30:00,18,-0.1,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,30,2,1,31,-22,6,0
192,2007-07-26 10:00:00,47,-0.61,0,-0.86,0,0,0,1,0,0,1,1,0,0,2007,30,3,1,39,6,8,0
193,2007-07-26 10:30:00,46,-0.18,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,30,3,1,39,7,8,0
194,2007-07-27 10:00:00,63,-0.62,1,-6.28,2,0,0,1,1,0,0,0,0,1,2007,30,4,1,19,0,9,0
195,2007-07-31 09:00:00,65,-0.6,0,0.0,1,1,0,0,0,0,1,0,1,0,2007,31,1,1,21,4,5,0
196,2007-07-31 09:45:00,10,-0.91,1,0.0,0,0,0,1,1,0,0,0,0,1,2007,31,1,1,20,2,6,0
197,2007-08-01 01:00:00,67,-2.18,3,0.0,0,0,0,1,1,0,0,0,1,0,2007,31,2,1,13,-7,7,0
198,2007-08-01 08:15:00,0,-1.53,1,-2.87,3,0,0,1,0,0,1,0,0,1,2007,31,2,1,26,10,33,1
199,2007-08-01 10:30:00,18,-3.82,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,31,2,1,24,10,6,0
200,2007-08-02 08:30:00,69,1.14,0,-2.83,0,0,1,0,1,0,0,0,0,1,2007,31,3,1,15,-9,5,0
