,Unnamed: 0,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,recall_below_TH,precision_above_TH,recall_above_TH,support_below_TH,support_above_TH,report,elapsed_time
586,5,reg,gboosting,min,basic,ALL_NO_1_1_1,0_30,included,basic,11.72,{'n_estimators': 50},,,,,,,,,11.73,0.59
587,6,reg,ada,min,basic,ALL_NO_1_1_1,0_30,included,basic,13.55,{'n_estimators': 10},,,,,,,,,13.87,0.4
588,0,clf,kn,max,basic,ALL_NO_3_2_1,0_30,included,basic,0.76,{'n_neighbors': 41},0.75,0.72,0.77,0.95,0.57,0.18,953.0,339.0,"{'0': {'precision': 0.7660472972972973, 'recall': 0.9517313746065058, 'f1-score': 0.8488535329901731, 'support': 953}, '1': {'precision': 0.5740740740740741, 'recall': 0.18289085545722714, 'f1-score': 0.2774049217002237, 'support': 339}, 'micro avg': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 1292}, 'macro avg': {'precision': 0.6700606856856857, 'recall': 0.5673111150318665, 'f1-score': 0.5631292273451984, 'support': 1292}, 'weighted avg': {'precision': 0.7156766141141141, 'recall': 0.75, 'f1-score': 0.6989146171795749, 'support': 1292}}",3.18
589,1,clf,svc-rbf,max,basic,ALL_NO_3_2_1,0_30,included,basic,0.74,"{'C': 1, 'gamma': 1}",0.74,0.54,0.74,1.0,0.0,0.0,953.0,339.0,"{'0': {'precision': 0.7376160990712074, 'recall': 1.0, 'f1-score': 0.8489977728285079, 'support': 953}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 339}, 'micro avg': {'precision': 0.7376160990712074, 'recall': 0.7376160990712074, 'f1-score': 0.7376160990712074, 'support': 1292}, 'macro avg': {'precision': 0.3688080495356037, 'recall': 0.5, 'f1-score': 0.42449888641425393, 'support': 1292}, 'weighted avg': {'precision': 0.5440775096090252, 'recall': 0.7376160990712074, 'f1-score': 0.626234425313907, 'support': 1292}}",8.06
590,2,clf,dtree,max,basic,ALL_NO_3_2_1,0_30,included,basic,0.76,"{'max_depth': 4, 'min_samples_leaf': 10}",0.77,0.75,0.78,0.95,0.66,0.26,953.0,339.0,"{'0': {'precision': 0.7834339948231234, 'recall': 0.9527806925498427, 'f1-score': 0.8598484848484849, 'support': 953}, '1': {'precision': 0.6616541353383458, 'recall': 0.25958702064896755, 'f1-score': 0.37288135593220334, 'support': 339}, 'micro avg': {'precision': 0.7708978328173375, 'recall': 0.7708978328173375, 'f1-score': 0.7708978328173375, 'support': 1292}, 'macro avg': {'precision': 0.7225440650807347, 'recall': 0.6061838565994051, 'f1-score': 0.6163649203903441, 'support': 1292}, 'weighted avg': {'precision': 0.7514809202369472, 'recall': 0.7708978328173375, 'f1-score': 0.7320761499393367, 'support': 1292}}",0.49
591,3,clf,rforest,max,basic,ALL_NO_3_2_1,0_30,included,basic,0.77,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 10}",0.77,0.76,0.78,0.97,0.7,0.22,953.0,339.0,"{'0': {'precision': 0.7776838546069316, 'recall': 0.9653725078698846, 'f1-score': 0.8614232209737828, 'support': 953}, '1': {'precision': 0.6972477064220184, 'recall': 0.22418879056047197, 'f1-score': 0.3392857142857143, 'support': 339}, 'micro avg': {'precision': 0.7708978328173375, 'recall': 0.7708978328173375, 'f1-score': 0.7708978328173375, 'support': 1292}, 'macro avg': {'precision': 0.737465780514475, 'recall': 0.5947806492151783, 'f1-score': 0.6003544676297485, 'support': 1292}, 'weighted avg': {'precision': 0.7565787042704877, 'recall': 0.7708978328173375, 'f1-score': 0.7244227451477337, 'support': 1292}}",24.51
592,4,clf,xgb,max,basic,ALL_NO_3_2_1,0_30,included,basic,0.77,{'n_estimators': 100},0.77,0.75,0.79,0.94,0.63,0.3,953.0,339.0,"{'0': {'precision': 0.7904509283819628, 'recall': 0.938090241343127, 'f1-score': 0.8579654510556622, 'support': 953}, '1': {'precision': 0.6335403726708074, 'recall': 0.3008849557522124, 'f1-score': 0.40800000000000003, 'support': 339}, 'micro avg': {'precision': 0.7708978328173375, 'recall': 0.7708978328173375, 'f1-score': 0.7708978328173375, 'support': 1292}, 'macro avg': {'precision': 0.7119956505263851, 'recall': 0.6194875985476698, 'f1-score': 0.6329827255278311, 'support': 1292}, 'weighted avg': {'precision': 0.7492801246775652, 'recall': 0.7708978328173375, 'f1-score': 0.7399017607244939, 'support': 1292}}",0.32
593,5,clf,gboosting,max,basic,ALL_NO_3_2_1,0_30,included,basic,0.77,{'n_estimators': 100},0.76,0.74,0.79,0.93,0.6,0.31,953.0,339.0,"{'0': {'precision': 0.7899910634495085, 'recall': 0.9275970619097587, 'f1-score': 0.8532818532818534, 'support': 953}, '1': {'precision': 0.6011560693641619, 'recall': 0.30678466076696165, 'f1-score': 0.40625, 'support': 339}, 'micro avg': {'precision': 0.7647058823529411, 'recall': 0.7647058823529411, 'f1-score': 0.7647058823529412, 'support': 1292}, 'macro avg': {'precision': 0.6955735664068352, 'recall': 0.6171908613383601, 'f1-score': 0.6297659266409267, 'support': 1292}, 'weighted avg': {'precision': 0.7404438010695298, 'recall': 0.7647058823529411, 'f1-score': 0.735987891778333, 'support': 1292}}",0.75
594,6,clf,ada,max,basic,ALL_NO_3_2_1,0_30,included,basic,0.77,{'n_estimators': 50},0.77,0.75,0.8,0.92,0.61,0.34,953.0,339.0,"{'0': {'precision': 0.7978241160471442, 'recall': 0.9233997901364114, 'f1-score': 0.8560311284046694, 'support': 953}, '1': {'precision': 0.6137566137566137, 'recall': 0.3421828908554572, 'f1-score': 0.43939393939393945, 'support': 339}, 'micro avg': {'precision': 0.7708978328173375, 'recall': 0.7708978328173375, 'f1-score': 0.7708978328173375, 'support': 1292}, 'macro avg': {'precision': 0.705790364901879, 'recall': 0.6327913404959343, 'f1-score': 0.6477125338993044, 'support': 1292}, 'weighted avg': {'precision': 0.7495277667619353, 'recall': 0.7708978328173375, 'f1-score': 0.7467122374800275, 'support': 1292}}",0.81
595,0,reg,kn,max,basic,ALL_NO_3_2_1,0_30,included,basic,11.84,{'n_neighbors': 21},,,,,,,,,12.25,2.89
