,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,recall_below_TH,precision_above_TH,recall_above_TH,support_below_TH,support_above_TH,report,elapsed_time
1,clf,svc-rbf,min,basic,ALL_NO_3_2_1,30_240,included,basic,0.76,"{'C': 1, 'gamma': 1}",0.76,0.58,0.76,1.00,0.00,0.00,980.00,312.00,"{'0': {'precision': 0.7585139318885449, 'recall': 1.0, 'f1-score': 0.8626760563380282, 'support': 980}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 312}, 'micro avg': {'precision': 0.7585139318885449, 'recall': 0.7585139318885449, 'f1-score': 0.758513931888545, 'support': 1292}, 'macro avg': {'precision': 0.37925696594427244, 'recall': 0.5, 'f1-score': 0.4313380281690141, 'support': 1292}, 'weighted avg': {'precision': 0.5753433848690201, 'recall': 0.7585139318885449, 'f1-score': 0.6543518074390617, 'support': 1292}}",9.55
2,clf,dtree,min,basic,ALL_NO_3_2_1,30_240,included,basic,0.77,"{'max_depth': 4, 'min_samples_leaf': 150}",0.75,0.69,0.77,0.96,0.44,0.10,980.00,312.00,"{'0': {'precision': 0.7696078431372549, 'recall': 0.9612244897959183, 'f1-score': 0.8548094373865698, 'support': 980}, '1': {'precision': 0.4411764705882353, 'recall': 0.09615384615384616, 'f1-score': 0.15789473684210528, 'support': 312}, 'micro avg': {'precision': 0.7523219814241486, 'recall': 0.7523219814241486, 'f1-score': 0.7523219814241486, 'support': 1292}, 'macro avg': {'precision': 0.6053921568627452, 'recall': 0.5286891679748823, 'f1-score': 0.5063520871143375, 'support': 1292}, 'weighted avg': {'precision': 0.6902962423359437, 'recall': 0.7523219814241486, 'f1-score': 0.686514246543015, 'support': 1292}}",0.75
3,clf,rforest,min,basic,ALL_NO_3_2_1,30_240,included,basic,0.77,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 10}",0.76,0.70,0.76,0.99,0.50,0.04,980.00,312.00,"{'0': {'precision': 0.7638230647709321, 'recall': 0.986734693877551, 'f1-score': 0.861086375779163, 'support': 980}, '1': {'precision': 0.5, 'recall': 0.041666666666666664, 'f1-score': 0.07692307692307693, 'support': 312}, 'micro avg': {'precision': 0.7585139318885449, 'recall': 0.7585139318885449, 'f1-score': 0.758513931888545, 'support': 1292}, 'macro avg': {'precision': 0.631911532385466, 'recall': 0.5142006802721089, 'f1-score': 0.46900472635112, 'support': 1292}, 'weighted avg': {'precision': 0.7001134701822859, 'recall': 0.7585139318885449, 'f1-score': 0.6717218639810989, 'support': 1292}}",27.27
4,clf,xgb,min,basic,ALL_NO_3_2_1,30_240,included,basic,0.77,{'n_estimators': 100},0.76,0.71,0.77,0.96,0.49,0.12,980.00,312.00,"{'0': {'precision': 0.7747524752475248, 'recall': 0.9581632653061225, 'f1-score': 0.8567518248175182, 'support': 980}, '1': {'precision': 0.4875, 'recall': 0.125, 'f1-score': 0.19897959183673466, 'support': 312}, 'micro avg': {'precision': 0.7569659442724458, 'recall': 0.7569659442724458, 'f1-score': 0.7569659442724458, 'support': 1292}, 'macro avg': {'precision': 0.6311262376237624, 'recall': 0.5415816326530613, 'f1-score': 0.5278657083271264, 'support': 1292}, 'weighted avg': {'precision': 0.705385004444717, 'recall': 0.7569659442724458, 'f1-score': 0.6979089945620968, 'support': 1292}}",0.46
5,clf,gboosting,min,basic,ALL_NO_3_2_1,30_240,included,basic,0.77,{'n_estimators': 200},0.76,0.72,0.78,0.95,0.51,0.17,980.00,312.00,"{'0': {'precision': 0.7824620573355818, 'recall': 0.9469387755102041, 'f1-score': 0.8568790397045245, 'support': 980}, '1': {'precision': 0.5094339622641509, 'recall': 0.17307692307692307, 'f1-score': 0.2583732057416268, 'support': 312}, 'micro avg': {'precision': 0.760061919504644, 'recall': 0.760061919504644, 'f1-score': 0.760061919504644, 'support': 1292}, 'macro avg': {'precision': 0.6459480097998664, 'recall': 0.5600078492935636, 'f1-score': 0.5576261227230757, 'support': 1292}, 'weighted avg': {'precision': 0.7165295761728214, 'recall': 0.760061919504644, 'f1-score': 0.712348219119057, 'support': 1292}}",1.14
6,clf,ada,min,basic,ALL_NO_3_2_1,30_240,included,basic,0.76,{'n_estimators': 100},0.75,0.71,0.78,0.93,0.47,0.18,980.00,312.00,"{'0': {'precision': 0.7822374039282665, 'recall': 0.9346938775510204, 'f1-score': 0.8516968851696886, 'support': 980}, '1': {'precision': 0.47107438016528924, 'recall': 0.18269230769230768, 'f1-score': 0.26327944572748263, 'support': 312}, 'micro avg': {'precision': 0.7530959752321982, 'recall': 0.7530959752321982, 'f1-score': 0.7530959752321982, 'support': 1292}, 'macro avg': {'precision': 0.6266558920467779, 'recall': 0.558693092621664, 'f1-score': 0.5574881654485856, 'support': 1292}, 'weighted avg': {'precision': 0.7070958687780738, 'recall': 0.7530959752321982, 'f1-score': 0.7096022713105801, 'support': 1292}}",1.08
0,reg,kn,min,basic,ALL_NO_3_2_1,30_240,included,basic,25.16,{'n_neighbors': 51},,,,,,,,,23.90,6.50
1,reg,svr-rbf,min,basic,ALL_NO_3_2_1,30_240,included,basic,27.37,"{'C': 5, 'gamma': 1}",,,,,,,,,25.68,8.87
2,reg,dtree,min,basic,ALL_NO_3_2_1,30_240,included,basic,24.67,"{'max_depth': 7, 'min_samples_leaf': 150}",,,,,,,,,23.78,0.71
3,reg,rforest,min,basic,ALL_NO_3_2_1,30_240,included,basic,24.10,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 50}",,,,,,,,,23.33,51.24
4,reg,xgb,min,basic,ALL_NO_3_2_1,30_240,included,basic,24.21,{'n_estimators': 50},,,,,,,,,23.41,0.26
5,reg,gboosting,min,basic,ALL_NO_3_2_1,30_240,included,basic,24.43,{'n_estimators': 50},,,,,,,,,23.96,0.59
6,reg,ada,min,basic,ALL_NO_3_2_1,30_240,included,basic,26.27,{'n_estimators': 10},,,,,,,,,26.61,0.33
0,clf,kn,max,all,ALL_NO_3_2_1,30_240,included,basic,0.75,{'n_neighbors': 71},0.74,0.65,0.74,0.99,0.40,0.01,952.00,340.00,"{'0': {'precision': 0.7379095163806553, 'recall': 0.9936974789915967, 'f1-score': 0.846911369740376, 'support': 952}, '1': {'precision': 0.4, 'recall': 0.011764705882352941, 'f1-score': 0.022857142857142857, 'support': 340}, 'micro avg': {'precision': 0.7352941176470589, 'recall': 0.7352941176470589, 'f1-score': 0.735294117647059, 'support': 1292}, 'macro avg': {'precision': 0.5689547581903276, 'recall': 0.5027310924369748, 'f1-score': 0.43488425629875943, 'support': 1292}, 'weighted avg': {'precision': 0.6489859594383776, 'recall': 0.7352941176470589, 'f1-score': 0.6300549942447883, 'support': 1292}}",4.62
1,clf,svc-rbf,max,all,ALL_NO_3_2_1,30_240,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.74,0.54,0.74,1.00,0.00,0.00,952.00,340.00,"{'0': {'precision': 0.7368421052631579, 'recall': 1.0, 'f1-score': 0.8484848484848484, 'support': 952}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 340}, 'micro avg': {'precision': 0.7368421052631579, 'recall': 0.7368421052631579, 'f1-score': 0.7368421052631579, 'support': 1292}, 'macro avg': {'precision': 0.3684210526315789, 'recall': 0.5, 'f1-score': 0.4242424242424242, 'support': 1292}, 'weighted avg': {'precision': 0.5429362880886426, 'recall': 0.7368421052631579, 'f1-score': 0.6251993620414672, 'support': 1292}}",5.37
2,clf,dtree,max,all,ALL_NO_3_2_1,30_240,included,basic,0.75,"{'max_depth': 3, 'min_samples_leaf': 10}",0.74,0.54,0.74,1.00,0.00,0.00,952.00,340.00,"{'0': {'precision': 0.7368421052631579, 'recall': 1.0, 'f1-score': 0.8484848484848484, 'support': 952}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 340}, 'micro avg': {'precision': 0.7368421052631579, 'recall': 0.7368421052631579, 'f1-score': 0.7368421052631579, 'support': 1292}, 'macro avg': {'precision': 0.3684210526315789, 'recall': 0.5, 'f1-score': 0.4242424242424242, 'support': 1292}, 'weighted avg': {'precision': 0.5429362880886426, 'recall': 0.7368421052631579, 'f1-score': 0.6251993620414672, 'support': 1292}}",0.44
3,clf,rforest,max,all,ALL_NO_3_2_1,30_240,included,basic,0.75,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 50}",0.74,0.70,0.74,0.99,0.59,0.05,952.00,340.00,"{'0': {'precision': 0.7438735177865613, 'recall': 0.9884453781512605, 'f1-score': 0.8488949030221019, 'support': 952}, '1': {'precision': 0.5925925925925926, 'recall': 0.047058823529411764, 'f1-score': 0.08719346049046321, 'support': 340}, 'micro avg': {'precision': 0.7407120743034056, 'recall': 0.7407120743034056, 'f1-score': 0.7407120743034055, 'support': 1292}, 'macro avg': {'precision': 0.668233055189577, 'recall': 0.5177521008403362, 'f1-score': 0.46804418175628254, 'support': 1292}, 'weighted avg': {'precision': 0.7040627479986747, 'recall': 0.7407120743034056, 'f1-score': 0.6484471549874601, 'support': 1292}}",16.07
4,clf,xgb,max,all,ALL_NO_3_2_1,30_240,included,basic,0.76,{'n_estimators': 50},0.74,0.69,0.75,0.97,0.54,0.09,952.00,340.00,"{'0': {'precision': 0.7491909385113269, 'recall': 0.9726890756302521, 'f1-score': 0.8464351005484461, 'support': 952}, '1': {'precision': 0.5357142857142857, 'recall': 0.08823529411764706, 'f1-score': 0.15151515151515152, 'support': 340}, 'micro avg': {'precision': 0.739938080495356, 'recall': 0.739938080495356, 'f1-score': 0.739938080495356, 'support': 1292}, 'macro avg': {'precision': 0.6424526121128062, 'recall': 0.5304621848739496, 'f1-score': 0.4989751260317988, 'support': 1292}, 'weighted avg': {'precision': 0.6930128719857898, 'recall': 0.739938080495356, 'f1-score': 0.6635614297502107, 'support': 1292}}",0.25
5,clf,gboosting,max,all,ALL_NO_3_2_1,30_240,included,basic,0.75,{'n_estimators': 50},0.74,0.69,0.75,0.97,0.52,0.09,952.00,340.00,"{'0': {'precision': 0.7497969130787977, 'recall': 0.9695378151260504, 'f1-score': 0.8456252863032524, 'support': 952}, '1': {'precision': 0.5245901639344263, 'recall': 0.09411764705882353, 'f1-score': 0.1596009975062344, 'support': 340}, 'micro avg': {'precision': 0.7391640866873065, 'recall': 0.7391640866873065, 'f1-score': 0.7391640866873065, 'support': 1292}, 'macro avg': {'precision': 0.637193538506612, 'recall': 0.531827731092437, 'f1-score': 0.5026131419047434, 'support': 1292}, 'weighted avg': {'precision': 0.6905319790934368, 'recall': 0.7391640866873065, 'f1-score': 0.6650925787250898, 'support': 1292}}",0.61
6,clf,ada,max,all,ALL_NO_3_2_1,30_240,included,basic,0.74,{'n_estimators': 10},0.74,0.69,0.75,0.98,0.54,0.08,952.00,340.00,"{'0': {'precision': 0.747588424437299, 'recall': 0.976890756302521, 'f1-score': 0.8469945355191255, 'support': 952}, '1': {'precision': 0.5416666666666666, 'recall': 0.07647058823529412, 'f1-score': 0.13402061855670103, 'support': 340}, 'micro avg': {'precision': 0.739938080495356, 'recall': 0.739938080495356, 'f1-score': 0.739938080495356, 'support': 1292}, 'macro avg': {'precision': 0.6446275455519828, 'recall': 0.5266806722689076, 'f1-score': 0.49050757703791326, 'support': 1292}, 'weighted avg': {'precision': 0.6933984881818693, 'recall': 0.739938080495356, 'f1-score': 0.6593698205290138, 'support': 1292}}",0.60
0,reg,kn,max,all,ALL_NO_3_2_1,30_240,included,basic,26.44,{'n_neighbors': 81},,,,,,,,,26.58,3.81
1,reg,svr-rbf,max,all,ALL_NO_3_2_1,30_240,included,basic,28.49,"{'C': 5, 'gamma': 1}",,,,,,,,,28.62,5.34
2,reg,dtree,max,all,ALL_NO_3_2_1,30_240,included,basic,26.27,"{'max_depth': 5, 'min_samples_leaf': 200}",,,,,,,,,26.41,0.43
3,reg,rforest,max,all,ALL_NO_3_2_1,30_240,included,basic,25.65,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 50}",,,,,,,,,26.01,40.91
4,reg,xgb,max,all,ALL_NO_3_2_1,30_240,included,basic,25.85,{'n_estimators': 50},,,,,,,,,26.06,0.25
5,reg,gboosting,max,all,ALL_NO_3_2_1,30_240,included,basic,25.93,{'n_estimators': 50},,,,,,,,,26.10,0.53
