,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_min_0_60_after,reaction_min_0_60_after
81,2007-04-03 10:00:00,50,1.0,0,1.0,0,0,1,0,1,0,0,1,0,0,2007,14,1,1,10,1,1,0
82,2007-04-04 08:15:00,0,1.0,0,1.0,0,0,0,1,0,1,0,1,0,0,2007,14,2,1,11,4,-12,0
83,2007-04-04 10:30:00,18,-1.6,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,2,1,27,12,-9,0
84,2007-04-05 08:30:00,69,-0.75,0,-2.24,0,0,0,1,1,0,0,0,1,0,2007,14,3,1,22,5,0,0
85,2007-04-05 10:30:00,46,-0.6,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,3,1,17,3,-8,0
86,2007-04-06 10:00:00,31,1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,14,4,1,15,-10,-2,0
87,2007-04-06 15:00:00,12,1.0,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,14,4,1,8,1,-8,0
88,2007-04-10 10:00:00,37,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,15,1,1,15,0,-2,0
89,2007-04-11 10:30:00,18,-0.48,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,15,2,1,12,1,-4,0
90,2007-04-11 14:00:00,25,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,15,2,1,8,-2,-11,0
91,2007-04-12 10:30:00,46,-0.75,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,15,3,1,29,19,-1,0
92,2007-04-13 10:00:00,58,1.0,0,1.0,0,0,0,1,1,0,0,1,0,0,2007,15,4,1,15,2,-36,1
93,2007-04-16 09:00:00,66,1.0,0,1.0,0,0,0,1,1,0,0,1,0,0,2007,16,0,1,12,2,-10,0
94,2007-04-16 10:00:00,5,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,16,0,1,23,-5,-1,0
95,2007-04-16 13:00:00,44,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,16,0,1,7,-1,-2,0
96,2007-04-18 10:30:00,18,-1.32,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,16,2,1,17,-2,-10,0
97,2007-04-19 08:30:00,69,-0.93,1,0.5,0,0,0,1,1,0,0,0,1,0,2007,16,3,1,16,7,-20,0
98,2007-04-19 10:00:00,7,1.0,0,1.0,0,0,0,1,0,0,1,0,1,0,2007,16,3,1,12,-4,-7,0
99,2007-04-19 10:30:00,46,-0.32,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,16,3,1,17,11,-8,0
100,2007-04-19 12:00:00,53,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,16,3,1,12,-5,-7,0
101,2007-04-24 09:00:00,65,0.0,0,1.0,0,1,0,0,1,0,0,0,1,0,2007,17,1,1,11,-3,-5,0
102,2007-04-25 10:00:00,47,1.0,0,1.0,0,0,0,1,0,0,1,1,0,0,2007,17,2,1,11,0,-8,0
103,2007-04-25 10:30:00,18,-3.26,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,17,2,1,34,16,-9,0
104,2007-04-26 08:30:00,69,-0.3,0,-4.47,0,1,0,0,1,0,0,0,1,0,2007,17,3,1,23,-17,-4,0
105,2007-04-26 10:30:00,46,0.0,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,17,3,1,16,0,-10,0
106,2007-04-27 10:00:00,63,1.0,0,1.0,0,0,1,0,1,0,0,0,0,1,2007,17,4,1,15,6,-24,1
107,2007-04-30 09:45:00,10,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,18,0,1,17,8,-5,0
108,2007-04-30 10:00:00,11,0.0,0,1.0,0,1,0,0,0,1,0,0,1,0,2007,18,0,1,24,16,-8,0
109,2007-05-01 01:00:00,67,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,18,1,1,9,-5,-4,0
110,2007-05-02 08:15:00,0,1.0,0,1.0,0,0,0,1,0,0,1,1,0,0,2007,18,2,1,15,12,-9,0
111,2007-05-02 10:00:00,24,1.0,0,1.0,0,0,1,0,0,1,0,0,0,1,2007,18,2,1,15,8,-7,0
112,2007-05-02 10:30:00,18,-0.25,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,18,2,1,34,10,-16,0
113,2007-05-03 10:00:00,40,1.0,0,0.0,0,0,1,0,1,0,0,1,0,0,2007,18,3,1,20,-18,-9,0
114,2007-05-03 10:30:00,46,-3.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,18,3,1,35,-26,-2,0
115,2007-05-07 15:00:00,12,1.0,0,1.0,0,0,1,0,0,1,0,0,1,0,2007,19,0,1,11,-6,-8,0
116,2007-05-08 10:00:00,31,1.0,0,1.0,0,0,1,0,0,1,0,0,1,0,2007,19,1,1,9,1,-40,1
