,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_30_60_after,pips_candle_30_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_60_240_after,reaction_max_60_240_after
67,2007-03-16 10:00:00,58,1.0,0,1.0,0,0,0,1,0,0,1,1,0,0,2007,11,4,1,8,-3,5,2,4,-1,7,-3,4,3,4,-2,11,-1,23,-5,8,0
68,2007-03-19 13:00:00,44,1.0,0,1.0,0,0,0,1,0,0,1,0,1,0,2007,12,0,1,4,3,7,-2,7,-4,5,-1,5,0,6,1,11,8,14,-5,14,0
69,2007-03-21 10:30:00,18,-1.2,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,12,2,1,5,-2,5,1,7,1,5,2,5,1,5,-1,9,2,12,8,75,1
70,2007-03-21 14:15:00,26,0.0,0,0.0,0,1,0,0,1,0,0,1,0,0,2007,12,2,1,41,25,38,37,25,-13,21,14,15,-8,12,9,16,-4,11,3,18,0
71,2007-03-22 08:30:00,69,-0.2,0,-2.24,0,1,0,0,1,0,0,0,1,0,2007,12,3,1,12,-7,8,-1,8,2,8,4,6,0,4,-2,15,5,16,-4,14,0
72,2007-03-22 10:00:00,7,1.0,0,1.0,0,0,0,1,0,0,1,0,1,0,2007,12,3,1,11,6,10,7,5,-1,5,0,6,2,5,1,11,-9,15,4,7,0
73,2007-03-22 10:30:00,46,-5.35,2,0.0,0,1,0,0,1,0,0,0,1,0,2007,12,3,1,5,-2,5,-3,3,0,4,0,6,-1,4,-2,9,-1,22,8,8,0
74,2007-03-23 10:00:00,23,1.0,0,1.0,0,0,1,0,1,0,0,1,0,0,2007,12,4,1,16,-11,9,5,9,-7,14,-11,11,-2,6,0,19,-10,18,-8,15,0
75,2007-03-26 10:00:00,47,1.0,0,1.0,0,0,0,1,0,0,1,1,0,0,2007,13,0,1,21,17,14,12,4,-1,10,6,6,6,7,2,8,-3,27,30,5,0
76,2007-03-27 09:00:00,65,1.0,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,13,1,1,3,3,3,-1,4,-1,9,-8,3,-1,3,0,16,1,21,-5,26,0
