,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_30_120_after,reaction_max_30_120_after
68,2007-05-24 10:00:00,21,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,21,3,1,22,-19,9,-5,9,-2,5,-1,7,3,2,0,33,2,16,0
69,2007-05-25 10:00:00,14,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,21,4,1,8,4,23,17,6,-4,8,4,3,0,6,-1,10,-6,2,0
70,2007-05-29 10:00:00,4,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,22,1,1,13,-11,4,-2,3,3,1,0,5,-4,6,-5,17,-1,3,0
71,2007-05-30 08:15:00,0,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,22,2,1,5,4,6,-1,2,0,4,1,4,-2,3,-1,23,-10,22,0
72,2007-05-31 08:30:00,26,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,22,3,1,8,2,6,2,5,0,3,1,6,-4,4,2,29,17,1,0
73,2007-06-01 08:30:00,9_22_33,2.0,0,1.0,0,1,1,1,2,0,1,3,2007,22,4,3,35,24,17,-15,9,-9,15,-11,8,1,7,2,35,-2,4,0
74,2007-06-01 10:00:00,17_24,2.0,0,1.0,0,0,1,1,1,1,0,2,2007,22,4,2,19,-7,20,-17,8,-6,11,9,6,-5,5,-2,23,1,40,1
75,2007-06-05 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,23,1,1,10,3,3,1,4,0,6,-3,12,-5,3,-1,24,-20,14,0
76,2007-06-08 08:30:00,31,2.06,1,7.8,3,0,1,0,0,1,0,1,2007,23,4,1,12,-9,7,0,11,-9,3,2,3,-1,6,-5,33,23,18,0
77,2007-06-13 08:30:00,10_29,3.55,2,0.94,0,0,2,0,0,2,0,2,2007,24,2,2,14,-11,13,12,18,11,14,-11,9,4,12,-10,23,2,16,0
78,2007-06-14 08:30:00,23,0.86,0,0.0,0,0,1,0,1,0,0,1,2007,24,3,1,17,-16,14,13,17,12,6,-5,6,-6,5,-3,32,-11,28,1
79,2007-06-15 08:30:00,7,-1.41,3,0.0,0,0,0,1,1,0,0,1,2007,24,4,1,17,-4,13,7,11,9,9,8,8,-4,7,1,27,10,22,0
80,2007-06-15 09:00:00,30,0.35,1,-2.13,3,0,1,0,0,0,1,1,2007,24,4,1,9,2,4,-2,4,2,18,16,10,-7,3,-1,31,22,16,0
81,2007-06-15 10:00:00,28,-1.33,1,-0.28,0,0,0,1,1,0,0,1,2007,24,4,1,11,8,9,-6,5,5,3,0,6,0,5,4,29,1,24,0
82,2007-06-25 10:00:00,14,0.1,0,-0.69,1,0,1,0,1,0,0,1,2007,26,0,1,7,1,3,1,7,-6,4,4,3,0,3,1,8,3,2,0
83,2007-06-26 10:00:00,21_4,-0.69,1,-1.83,2,0,0,2,0,1,1,2,2007,26,1,2,15,-9,5,1,4,-2,4,-2,4,1,2,-1,15,2,11,0
84,2007-06-27 08:30:00,8,-0.6,0,1.61,1,0,0,1,0,1,0,1,2007,26,2,1,8,2,5,-2,5,-1,7,-6,7,5,6,-6,22,3,7,0
85,2007-06-28 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,26,3,1,12,4,8,4,5,1,7,-4,5,-4,3,0,17,-15,4,0
86,2007-06-29 08:30:00,9,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,26,4,1,9,-6,6,3,7,-3,3,1,4,3,2,1,22,16,1,0
87,2007-07-02 10:00:00,17,0.43,0,0.0,0,0,1,0,1,0,0,1,2007,27,0,1,6,-1,2,-1,13,10,8,4,5,-1,8,8,10,-4,12,0
88,2007-07-03 10:00:00,24,-1.28,1,-0.58,1,0,0,1,0,0,1,1,2007,27,1,1,8,-5,7,-6,7,7,4,-3,2,1,7,-5,13,-1,15,0
89,2007-07-05 10:00:00,18,0.79,0,0.0,0,0,1,0,1,0,0,1,2007,27,3,1,8,-8,9,4,5,-1,12,-10,11,5,6,-4,27,-19,20,0
90,2007-07-06 08:30:00,22_33,0.22,0,1.88,1,1,1,0,1,1,0,2,2007,27,4,2,28,-27,15,12,9,-4,6,-1,5,3,19,18,33,11,45,1
91,2007-07-12 08:30:00,31,0.0,0,-0.25,0,1,0,0,1,0,0,1,2007,28,3,1,9,7,5,2,17,-14,6,5,17,-16,6,3,11,2,19,0
