actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name
-6.2%,USD,2008-11-26 08:30:00,-2.8%,worse,Medium,Durable Goods Orders m/m,-0.2%,worse,48,2008-11-26 13:30:00+00:00,121.43,2008,4,11,Wednesday
-1.0%,USD,2008-11-26 08:30:00,-1.0%,accurate,Medium,Personal Spending m/m,-0.3%,accurate,48,2008-11-26 13:30:00+00:00,0.0,2008,4,11,Wednesday
0.3%,USD,2008-11-26 08:30:00,0.1%,better,Low,Personal Income m/m,0.1%,worse,48,2008-11-26 13:30:00+00:00,-200.0,2008,4,11,Wednesday
33.8,USD,2008-11-26 09:45:00,36.5,worse,Medium,Chicago PMI,37.8,accurate,48,2008-11-26 14:45:00+00:00,7.4,2008,4,11,Wednesday
55.3,USD,2008-11-26 09:55:00,57.0,worse,Medium,Revised UoM Consumer Sentiment,57.9,accurate,48,2008-11-26 14:55:00+00:00,2.98,2008,4,11,Wednesday
433K,USD,2008-11-26 10:00:00,445K,worse,High,New Home Sales,457K,worse,48,2008-11-26 15:00:00+00:00,2.7,2008,4,11,Wednesday
7.3M,USD,2008-11-26 10:35:00,0.7M,accurate,Medium,Crude Oil Inventories,1.6M,accurate,48,2008-11-26 15:35:00+00:00,-942.86,2008,4,11,Wednesday
-66B,USD,2008-11-26 12:00:00,-44B,accurate,Low,Natural Gas Storage,16B,accurate,48,2008-11-26 17:00:00+00:00,50.0,2008,4,11,Wednesday
-25.4,USD,2008-11-17 08:30:00,-26.0,better,Medium,Empire State Manufacturing Index,-24.6,accurate,47,2008-11-17 13:30:00+00:00,-2.31,2008,4,11,Monday
76.4%,USD,2008-11-17 09:15:00,76.4%,accurate,Medium,Capacity Utilization Rate,75.5%,worse,47,2008-11-17 14:15:00+00:00,0.0,2008,4,11,Monday
1.3%,USD,2008-11-17 09:15:00,0.1%,better,Medium,Industrial Production m/m,-3.7%,worse,47,2008-11-17 14:15:00+00:00,-1200.0,2008,4,11,Monday
-2.8%,USD,2008-11-18 08:30:00,-1.9%,worse,High,PPI m/m,-0.4%,accurate,47,2008-11-18 13:30:00+00:00,47.37,2008,4,11,Tuesday
0.4%,USD,2008-11-18 08:30:00,0.1%,better,Medium,Core PPI m/m,0.4%,accurate,47,2008-11-18 13:30:00+00:00,-300.0,2008,4,11,Tuesday
66.2B,USD,2008-11-18 09:00:00,18.0B,better,High,TIC Long-Term Purchases,21.0B,better,47,2008-11-18 14:00:00+00:00,-267.78,2008,4,11,Tuesday
9,USD,2008-11-18 13:00:00,14,worse,Low,NAHB Housing Market Index,14,accurate,47,2008-11-18 18:00:00+00:00,35.71,2008,4,11,Tuesday
0.71M,USD,2008-11-19 08:30:00,0.77M,worse,High,Building Permits,0.81M,accurate,47,2008-11-19 13:30:00+00:00,7.79,2008,4,11,Wednesday
-0.1%,USD,2008-11-19 08:30:00,0.1%,worse,High,Core CPI m/m,0.1%,accurate,47,2008-11-19 13:30:00+00:00,200.0,2008,4,11,Wednesday
-1.0%,USD,2008-11-19 08:30:00,-0.8%,worse,Medium,CPI m/m,0.0%,accurate,47,2008-11-19 13:30:00+00:00,25.0,2008,4,11,Wednesday
0.79M,USD,2008-11-19 08:30:00,0.78M,accurate,Medium,Housing Starts,0.83M,accurate,47,2008-11-19 13:30:00+00:00,-1.28,2008,4,11,Wednesday
1.6M,USD,2008-11-19 10:35:00,0.9M,accurate,Medium,Crude Oil Inventories,0.0M,accurate,47,2008-11-19 15:35:00+00:00,-77.78,2008,4,11,Wednesday
542K,USD,2008-11-20 08:30:00,508K,worse,High,Unemployment Claims,515K,accurate,47,2008-11-20 13:30:00+00:00,-6.69,2008,4,11,Thursday
-39.3,USD,2008-11-20 10:00:00,-35.0,worse,Medium,Philly Fed Manufacturing Index,-37.5,accurate,47,2008-11-20 15:00:00+00:00,12.29,2008,4,11,Thursday
-0.8%,USD,2008-11-20 10:00:00,-0.6%,worse,Low,CB Leading Index m/m,0.1%,worse,47,2008-11-20 15:00:00+00:00,33.33,2008,4,11,Thursday
16B,USD,2008-11-20 10:35:00,-1B,accurate,Low,Natural Gas Storage,62B,accurate,47,2008-11-20 15:35:00+00:00,-1700.0,2008,4,11,Thursday
50.8,USD,2008-11-11 10:00:00,40.0,better,Low,IBD/TIPP Economic Optimism,41.1,accurate,46,2008-11-11 15:00:00+00:00,-27.0,2008,4,11,Tuesday
-56.5B,USD,2008-11-13 08:30:00,-56.5B,accurate,High,Trade Balance,-59.1B,accurate,46,2008-11-13 13:30:00+00:00,0.0,2008,4,11,Thursday
516K,USD,2008-11-13 08:30:00,483K,worse,Medium,Unemployment Claims,484K,accurate,46,2008-11-13 13:30:00+00:00,-6.83,2008,4,11,Thursday
0.0M,USD,2008-11-13 11:00:00,1.0M,accurate,Medium,Crude Oil Inventories,0.0M,accurate,46,2008-11-13 16:00:00+00:00,100.0,2008,4,11,Thursday
