datetime_gmt,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,forecast_error_diff,year,quarter,month,weekday,volatility_60_0_before,pips_agg_60_0_before,volatility_0_30_after,pips_agg_0_30_after,volatility_0_60_after,pips_agg_0_60_after,volatility_0_90_after,pips_agg_0_90_after,volatility_0_120_after,pips_agg_0_120_after,volatility_0_150_after,pips_agg_0_150_after,volatility_0_180_after,pips_agg_0_180_after,volatility_0_210_after,pips_agg_0_210_after,volatility_0_240_after,pips_agg_0_240_after,open_released,high_released,low_released,close_released,high_0_5_after,low_0_5_after,close_0_5_after,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,high_5_10_after,low_5_10_after,close_5_10_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,high_10_15_after,low_10_15_after,close_10_15_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,high_15_20_after,low_15_20_after,close_15_20_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,high_20_25_after,low_20_25_after,close_20_25_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,high_25_30_after,low_25_30_after,close_25_30_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,previous_value,previous_error_diff,total_error_diff,forecast_error_diff_outlier_class,forecast_error_diff_deviation,previous_error_diff_outlier_class,previous_error_diff_deviation,total_error_diff_outlier_class,total_error_diff_deviation
2007-04-06 12:30:00+00:00,0.3%,USD,2007-04-06 08:30:00,0.3%,accurate,Medium,Average Hourly Earnings m/m,0.4%,accurate,14,0.0,2007,2,4,4,53,-5,41,-32,41,-36,45,-38,49,-45,49,-41,49,-43,49,-43,49,-42,13423,13425,13413,13418,13413,13372,13379,41,-39,-34,13396,13377,13392,19,-26,13,13394,13372,13376,22,-42,-16,13381,13372,13377,9,-41,1,13383,13376,13381,7,-37,4,13384,13380,13382,4,-36,1,0.4%,0.0,0.0,0,-0.0,0,-0.0,0,-0.0
2007-05-04 12:30:00+00:00,0.2%,USD,2007-05-04 08:30:00,0.3%,worse,Medium,Average Hourly Earnings m/m,0.3%,accurate,18,-0.1,2007,2,5,4,30,-5,43,23,43,34,55,38,55,31,55,35,55,29,55,29,55,34,13559,13565,13559,13561,13584,13554,13565,30,4,9,13573,13556,13571,17,10,10,13579,13568,13576,11,15,5,13585,13575,13577,10,16,2,13584,13578,13579,6,18,1,13597,13579,13592,18,31,13,0.3%,0.0,-0.1,0,-0.1,0,-0.0,0,-0.1
2007-06-01 12:30:00+00:00,0.3%,USD,2007-06-01 08:30:00,0.3%,accurate,Medium,Average Hourly Earnings m/m,0.2%,accurate,22,0.0,2007,2,6,4,35,-2,43,-12,43,-7,43,-10,68,-35,68,-12,68,3,68,6,68,5,13437,13438,13434,13435,13457,13422,13457,35,22,24,13460,13443,13444,17,9,-15,13442,13433,13433,9,-2,-9,13434,13419,13419,15,-16,-11,13425,13417,13420,8,-15,1,13427,13420,13423,7,-12,2,0.2%,0.0,0.0,0,0.0,0,0.0,0,0.0
2007-07-06 12:30:00+00:00,0.3%,USD,2007-07-06 08:30:00,0.4%,worse,Medium,Average Hourly Earnings m/m,0.4%,better,27,-0.1,2007,3,7,4,33,12,29,-19,48,4,48,5,72,42,72,31,72,37,72,26,72,22,13598,13601,13596,13596,13597,13569,13570,28,-26,-27,13583,13568,13581,15,-15,12,13585,13576,13577,9,-19,-4,13577,13571,13575,6,-21,-1,13579,13574,13579,5,-17,3,13597,13578,13596,19,0,18,0.3%,0.1,0.0,0,-0.88,3,0.1,0,0.11
2007-08-03 12:30:00+00:00,0.3%,USD,2007-08-03 08:30:00,0.3%,accurate,Medium,Average Hourly Earnings m/m,0.4%,better,31,0.0,2007,3,8,4,39,2,29,13,32,25,57,52,84,65,84,75,84,74,98,87,100,91,13692,13697,13690,13692,13722,13693,13716,29,24,23,13721,13711,13713,10,21,-4,13716,13701,13703,15,11,-10,13718,13698,13703,20,11,0,13706,13698,13705,8,13,2,13710,13700,13707,10,15,1,0.3%,0.1,0.1,0,0.08,3,0.1,2,1.41
2007-09-07 12:30:00+00:00,0.3%,USD,2007-09-07 08:30:00,0.3%,accurate,Medium,Average Hourly Earnings m/m,0.3%,accurate,36,0.0,2007,3,9,4,88,12,82,65,82,67,106,82,106,77,106,75,106,64,106,72,106,81,13695,13697,13689,13694,13768,13692,13758,76,64,62,13761,13745,13750,16,56,-9,13767,13745,13766,22,72,15,13774,13755,13771,19,77,4,13772,13757,13763,15,69,-8,13770,13756,13759,14,65,-2,0.3%,0.0,0.0,0,0.05,0,0.0,0,0.04
2007-10-05 12:30:00+00:00,0.4%,USD,2007-10-05 08:30:00,0.3%,better,Medium,Average Hourly Earnings m/m,0.3%,accurate,40,0.1,2007,4,10,4,82,-11,88,-51,88,-43,126,17,126,25,126,17,126,22,126,31,126,24,14129,14135,14123,14126,14119,14057,14058,62,-68,-61,14059,14031,14050,28,-76,-9,14079,14045,14070,34,-56,18,14089,14065,14073,24,-53,3,14080,14059,14068,21,-58,-7,14075,14058,14061,17,-65,-7,0.3%,0.0,0.1,1,1.83,0,0.0,1,2.24
2007-11-02 12:30:00+00:00,0.2%,USD,2007-11-02 08:30:00,0.3%,worse,Medium,Average Hourly Earnings m/m,0.3%,worse,44,-0.1,2007,4,11,4,44,2,76,-8,76,-6,76,-10,76,0,76,4,76,2,76,-2,76,3,14482,14493,14479,14489,14486,14449,14468,37,-21,-16,14487,14462,14481,25,-8,12,14525,14479,14504,46,15,21,14506,14484,14496,22,7,-8,14501,14468,14476,33,-13,-20,14491,14470,14479,21,-10,3,0.4%,-0.1,-0.2,0,-1.41,3,-0.1,2,-4.47
2007-12-07 13:30:00+00:00,0.5%,USD,2007-12-07 08:30:00,0.3%,better,Medium,Average Hourly Earnings m/m,0.1%,worse,49,0.2,2007,4,12,4,44,3,65,13,65,3,65,18,65,22,65,8,65,12,65,24,65,14,14627,14644,14623,14640,14645,14607,14632,38,-8,-4,14636,14620,14634,16,-6,3,14672,14630,14667,42,27,35,14667,14648,14654,19,14,-12,14659,14644,14648,15,8,-8,14660,14645,14656,15,16,7,0.2%,-0.1,0.1,2,2.39,3,-0.1,1,2.24
2008-01-04 13:30:00+00:00,0.4%,USD,2008-01-04 08:30:00,0.3%,better,Medium,Average Hourly Earnings m/m,0.4%,worse,1,0.1,2008,1,1,4,126,20,97,72,100,68,100,53,100,37,100,41,100,54,100,55,100,45,14722,14733,14721,14723,14821,14724,14812,97,89,86,14817,14791,14794,26,71,-17,14807,14782,14788,25,65,-6,14795,14775,14790,20,67,3,14802,14769,14801,33,78,12,14806,14790,14800,16,77,2,0.5%,-0.1,0.0,1,1.41,3,-0.1,0,0.05
2008-02-01 13:30:00+00:00,0.2%,USD,2008-02-01 08:30:00,0.3%,worse,Medium,Average Hourly Earnings m/m,0.4%,accurate,5,-0.1,2008,1,2,4,71,1,59,15,99,-31,125,-47,163,-67,163,-71,163,-46,163,-47,163,-63,14887,14895,14883,14887,14947,14888,14908,59,21,16,14930,14897,14922,33,35,14,14930,14909,14917,21,30,-5,14923,14910,14916,13,29,-1,14917,14906,14909,11,22,-7,14919,14898,14903,21,16,-4,0.4%,0.0,-0.1,0,-1.2,0,0.0,1,-1.83
