,datetime,new_id,forecast_error_ratio,forecast_error_ratio_zscore,previous_error_ratio,total_error_ratio,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,num_news
1346,2009-08-27 10:30:00,46,-1.89,-0.4104322086786549,0.0,-1.89,-0.4104322086786549,1,0,0,1,0,0,0,1,0,1
1348,2009-08-28 09:55:00,63,3.4,-0.758528704964068,8.48,11.88,1.2351123091456164,0,2,0,2,0,0,0,0,1,1
1349,2009-08-31 09:45:00,10,10.98,0.6853163960270342,0.0,10.98,0.6853163960270342,0,2,0,2,0,0,0,0,1,1
1350,2009-09-01 01:00:00,67,7.63,0.5488631676620599,0.0,7.63,0.5488631676620599,0,1,0,1,0,0,0,1,0,1
1352,2009-09-02 08:15:00,0,-57.599999999999994,-2.3578554503723663,8.879999999999999,-48.72,-2.103323409053275,0,0,3,0,3,0,1,0,0,1
1354,2009-09-02 10:00:00,24,-86.96,-1.6412483738017523,250.0,163.04000000000005,1.1056743174364314,0,0,2,0,2,0,0,0,1,1
1355,2009-09-02 10:30:00,18,-100.0,-0.5370922639483026,0.0,-100.0,-0.5370922639483026,2,0,0,2,0,0,0,0,1,1
1356,2009-09-03 08:30:00,69,-3.7199999999999998,-0.3307232839596898,-2.0999999999999996,-5.82,-0.3558115586479478,0,0,3,3,0,0,1,0,0,1
1357,2009-09-03 10:00:00,40,-0.63,-0.019095857831111243,0.0,-0.63,-0.019095857831111243,3,0,0,3,0,0,1,0,0,1
1358,2009-09-03 10:30:00,46,2.99,0.08924373621821699,0.0,2.99,0.08924373621821699,1,0,0,1,0,0,0,1,0,1
1360,2009-09-08 15:00:00,12,-468.42,-1.5289501428347871,-50.49,-518.91,-1.4773891168629365,0,0,1,0,0,1,0,1,0,1
1362,2009-09-10 10:30:00,46,10.39,0.7289315618922525,0.0,10.39,0.7289315618922525,1,0,0,1,0,0,0,1,0,1
1363,2009-09-10 11:00:00,18,586.66,0.6510772602787906,0.0,586.66,0.6510772602787906,2,0,0,2,0,0,0,0,1,1
1364,2009-09-11 08:30:00,41,200.0,0.7213632979057715,0.0,200.0,1.150710108036331,0,2,0,2,0,0,0,0,1,1
1365,2009-09-11 09:55:00,58,8.92,2.1491909445895705,7.92,16.84,2.163105538943987,0,2,0,0,2,0,0,0,1,1
1366,2009-09-11 10:00:00,31,40.0,0.224455256418758,23.53,63.53,0.2369104838332392,0,1,0,0,1,0,0,1,0,1
1367,2009-09-11 14:00:00,25,56.72,3.532165095903771,0.0,56.72,3.532165095903771,0,2,0,2,0,0,0,0,1,1
1368,2009-09-15 08:29:00,21,57.14,-0.6432412224153911,0.0,57.14,-0.6432412224153911,0,2,0,2,0,0,0,0,1,1
1372,2009-09-16 09:00:00,66,-229.70999999999998,-1.2116194000318756,1.6500000000000001,-228.06,-1.197641428415377,0,0,3,3,0,0,1,0,0,1
1374,2009-09-16 10:30:00,18,161.54,-0.6796949684105202,0.0,161.54,-0.6796949684105202,2,0,0,2,0,0,0,0,1,1
1375,2009-09-16 13:00:00,44,0.0,0.16840230032120967,0.0,0.0,0.16840230032120926,1,0,0,1,0,0,0,1,0,1
1377,2009-09-17 10:00:00,53,148.14,-0.10823709858174377,0.0,148.14,-0.10823709858174377,0,2,0,2,0,0,0,0,1,1
1378,2009-09-17 10:30:00,46,10.81,0.8350695368925702,0.0,10.81,0.8350695368925702,1,0,0,1,0,0,0,1,0,1
1379,2009-09-21 10:00:00,7,-25.0,-1.4312539832716331,50.0,25.0,-0.7824270950930906,0,0,1,0,1,0,0,1,0,1
1380,2009-09-22 09:59:00,64,-17.65,-0.8093452265385969,0.0,-17.65,-0.8093452265385969,0,0,1,1,0,0,0,1,0,1
1381,2009-09-22 10:00:00,35,-40.0,-0.07094810100946469,-80.0,-120.0,-0.07113268853338421,0,0,1,0,0,1,0,1,0,1
1382,2009-09-23 10:30:00,18,-600.0,-2.5472209359424554,0.0,-600.0,-2.5472209359424554,2,0,0,2,0,0,0,0,1,1
1383,2009-09-23 14:15:00,26,0.0,0.0,0.0,0.0,0.0,3,0,0,3,0,0,1,0,0,1
1384,2009-09-24 08:30:00,69,9.84,3.611612553227931,-3.3000000000000003,6.540000000000001,3.8123401518752,0,3,0,0,0,3,1,0,0,1
1385,2009-09-24 10:00:00,23,-14.549999999999999,-4.43117345161429,0.0,-14.549999999999999,-4.494020464405606,0,0,3,3,0,0,1,0,0,1
1386,2009-09-24 10:30:00,46,8.22,0.388609114138158,0.0,8.22,0.388609114138158,1,0,0,1,0,0,0,1,0,1
1388,2009-09-25 09:55:00,63,9.4,3.386993538288377,-13.7,-4.299999999999999,-1.6623581392482767,0,2,0,2,0,0,0,0,1,1
1389,2009-09-25 10:00:00,47,-8.82,-1.8754428910687264,-4.86,-13.680000000000001,-1.88538198908716,0,0,3,0,0,3,1,0,0,1
1390,2009-09-29 09:00:00,65,13.98,2.0704465760129227,0.0,13.98,2.277111415981618,0,2,0,2,0,0,0,0,1,1
1391,2009-09-29 10:00:00,6,-20.52,-1.8921668558347544,2.2199999999999998,-18.299999999999997,-1.8239984506945024,0,0,3,0,3,0,1,0,0,1
1392,2009-09-30 08:15:00,0,-81.0,-3.269338810650495,21.15,-59.849999999999994,-3.4113260313477833,0,0,3,0,3,0,1,0,0,1
1394,2009-09-30 09:45:00,10,-23.04,-1.5696346613476035,0.0,-23.04,-1.5696346613476035,0,0,2,2,0,0,0,0,1,1
1395,2009-09-30 10:30:00,18,-920.0,-2.490089660088319,0.0,-920.0,-2.490089660088319,2,0,0,2,0,0,0,0,1,1
1396,2009-10-01 01:00:00,67,-7.07,-1.5433303534158074,0.0,-7.07,-1.5433303534158074,0,0,1,1,0,0,0,1,0,1
1399,2009-10-01 10:30:00,46,-3.23,-1.5245314032193744,0.0,-3.23,-1.5245314032193744,1,0,0,1,0,0,0,1,0,1
1401,2009-10-02 10:00:00,24,-1000.0,-3.3969967114578448,-15.38,-1015.38,-3.267847403126208,0,0,2,2,0,0,0,0,1,1
1402,2009-10-05 10:00:00,40,5.4,2.5511457999160227,0.0,5.4,2.551145799916023,0,3,0,3,0,0,1,0,0,1
1403,2009-10-07 10:30:00,18,300.0,1.23853381584492,0.0,300.0,1.23853381584492,2,0,0,2,0,0,0,0,1,1
1404,2009-10-07 15:00:00,12,-21.21,0.6249472854700314,12.04,-9.170000000000002,0.7559697607327582,0,0,1,0,1,0,0,1,0,1
1405,2009-10-08 08:30:00,69,12.149999999999999,2.636121569689369,-1.62,10.53,3.052333445375778,0,3,0,3,0,0,1,0,0,1
1406,2009-10-08 10:00:00,31,44.44,0.3652443126734343,14.29,58.73,0.1464354756283965,0,1,0,0,1,0,0,1,0,1
1407,2009-10-08 10:30:00,46,-21.05,-1.6225184269626742,0.0,-21.05,-1.6225184269626742,1,0,0,1,0,0,0,1,0,1
1408,2009-10-09 08:30:00,68,19.200000000000003,1.2195585432228855,-0.9299999999999999,18.270000000000003,1.420522795248138,0,3,0,3,0,0,1,0,0,1
1409,2009-10-13 10:00:00,37,-8.29,-1.1134848919087676,0.0,-8.29,-1.1134848919087683,0,0,1,1,0,0,0,1,0,1
