actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,forecast_error_ratio,year,quarter,month,day_name
397K,USD,2011-11-03 08:30:00,401K,accurate,High,Unemployment Claims,406K,accurate,44,2011-11-03 12:30:00+00:00,-1.0,2011,4,11,Thursday
3.1%,USD,2011-11-03 08:30:00,2.6%,worse,Medium,Prelim Nonfarm Productivity q/q,-0.7%,better,44,2011-11-03 12:30:00+00:00,19.23,2011,4,11,Thursday
-2.4%,USD,2011-11-03 08:30:00,-0.8%,worse,Medium,Prelim Unit Labor Costs q/q,3.3%,better,44,2011-11-03 12:30:00+00:00,-200.0,2011,4,11,Thursday
52.9,USD,2011-11-03 10:00:00,53.7,worse,High,ISM Non-Manufacturing PMI,53.0,accurate,44,2011-11-03 14:00:00+00:00,-1.49,2011,4,11,Thursday
0.3%,USD,2011-11-03 10:00:00,0.0%,better,Medium,Factory Orders m/m,0.1%,better,44,2011-11-03 14:00:00+00:00,300.0,2011,4,11,Thursday
78B,USD,2011-11-03 10:30:00,71B,accurate,Low,Natural Gas Storage,92B,accurate,44,2011-11-03 14:30:00+00:00,9.86,2011,4,11,Thursday
80K,USD,2011-11-04 08:30:00,97K,worse,High,Non-Farm Employment Change,158K,better,44,2011-11-04 12:30:00+00:00,-17.53,2011,4,11,Friday
9.0%,USD,2011-11-04 08:30:00,9.1%,better,High,Unemployment Rate,9.1%,accurate,44,2011-11-04 12:30:00+00:00,-1.1,2011,4,11,Friday
0.2%,USD,2011-11-04 08:30:00,0.2%,accurate,Medium,Average Hourly Earnings m/m,0.3%,better,44,2011-11-04 12:30:00+00:00,0.0,2011,4,11,Friday
-3.8%,USD,2011-10-25 09:00:00,-3.6%,worse,Medium,S&P/CS Composite-20 HPI y/y,-4.2%,accurate,43,2011-10-25 13:00:00+00:00,-5.56,2011,4,10,Tuesday
-6,USD,2011-10-25 09:59:00,2,worse,Low,Richmond Manufacturing Index,-6,accurate,43,2011-10-25 13:59:00+00:00,-400.0,2011,4,10,Tuesday
39.8,USD,2011-10-25 10:00:00,46.1,worse,High,CB Consumer Confidence,46.4,better,43,2011-10-25 14:00:00+00:00,-13.67,2011,4,10,Tuesday
-0.1%,USD,2011-10-25 10:00:00,0.1%,worse,Low,HPI m/m,0.0%,worse,43,2011-10-25 14:00:00+00:00,-200.0,2011,4,10,Tuesday
1.7%,USD,2011-10-26 08:30:00,0.5%,better,High,Core Durable Goods Orders m/m,-0.4%,worse,43,2011-10-26 12:30:00+00:00,240.0,2011,4,10,Wednesday
-0.8%,USD,2011-10-26 08:30:00,-0.7%,accurate,Medium,Durable Goods Orders m/m,-0.1%,accurate,43,2011-10-26 12:30:00+00:00,-14.29,2011,4,10,Wednesday
313K,USD,2011-10-26 10:00:00,302K,better,High,New Home Sales,296K,accurate,43,2011-10-26 14:00:00+00:00,3.64,2011,4,10,Wednesday
4.7M,USD,2011-10-26 10:30:00,0.5M,accurate,Medium,Crude Oil Inventories,-4.7M,accurate,43,2011-10-26 14:30:00+00:00,840.0,2011,4,10,Wednesday
2.5%,USD,2011-10-27 08:30:00,2.4%,better,High,Advance GDP q/q,1.3%,accurate,43,2011-10-27 12:30:00+00:00,4.17,2011,4,10,Thursday
402K,USD,2011-10-27 08:30:00,400K,accurate,High,Unemployment Claims,404K,accurate,43,2011-10-27 12:30:00+00:00,0.5,2011,4,10,Thursday
2.5%,USD,2011-10-27 08:30:00,2.4%,accurate,Medium,Advance GDP Price Index q/q,2.5%,better,43,2011-10-27 12:30:00+00:00,4.17,2011,4,10,Thursday
-4.6%,USD,2011-10-27 10:00:00,0.2%,worse,High,Pending Home Sales m/m,-1.2%,accurate,43,2011-10-27 14:00:00+00:00,-2400.0,2011,4,10,Thursday
92B,USD,2011-10-27 10:30:00,88B,accurate,Low,Natural Gas Storage,103B,accurate,43,2011-10-27 14:30:00+00:00,4.55,2011,4,10,Thursday
0.0%,USD,2011-10-28 08:30:00,0.1%,worse,Medium,Core PCE Price Index m/m,0.2%,better,43,2011-10-28 12:30:00+00:00,-100.0,2011,4,10,Friday
0.3%,USD,2011-10-28 08:30:00,0.6%,worse,Medium,Employment Cost Index q/q,0.7%,accurate,43,2011-10-28 12:30:00+00:00,-50.0,2011,4,10,Friday
0.6%,USD,2011-10-28 08:30:00,0.6%,accurate,Medium,Personal Spending m/m,0.2%,accurate,43,2011-10-28 12:30:00+00:00,0.0,2011,4,10,Friday
0.1%,USD,2011-10-28 08:30:00,0.4%,worse,Low,Personal Income m/m,-0.1%,accurate,43,2011-10-28 12:30:00+00:00,-75.0,2011,4,10,Friday
60.9,USD,2011-10-28 09:55:00,58.1,better,Medium,Revised UoM Consumer Sentiment,57.5,accurate,43,2011-10-28 13:55:00+00:00,4.82,2011,4,10,Friday
-8.5,USD,2011-10-17 08:30:00,-3.9,worse,Medium,Empire State Manufacturing Index,-8.8,accurate,42,2011-10-17 12:30:00+00:00,-117.95,2011,4,10,Monday
77.4%,USD,2011-10-17 09:15:00,77.5%,accurate,Medium,Capacity Utilization Rate,77.3%,accurate,42,2011-10-17 13:15:00+00:00,-0.13,2011,4,10,Monday
0.2%,USD,2011-10-17 09:15:00,0.2%,accurate,Medium,Industrial Production m/m,0.0%,worse,42,2011-10-17 13:15:00+00:00,0.0,2011,4,10,Monday
0.8%,USD,2011-10-18 08:30:00,0.2%,better,High,PPI m/m,0.0%,accurate,42,2011-10-18 12:30:00+00:00,300.0,2011,4,10,Tuesday
0.2%,USD,2011-10-18 08:30:00,0.1%,better,Medium,Core PPI m/m,0.1%,accurate,42,2011-10-18 12:30:00+00:00,100.0,2011,4,10,Tuesday
57.9B,USD,2011-10-18 09:00:00,27.8B,better,High,TIC Long-Term Purchases,9.1B,accurate,42,2011-10-18 13:00:00+00:00,108.27,2011,4,10,Tuesday
