,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_0_45_after,pips_agg_0_45_after,volatility_0_60_after,pips_agg_0_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_120_after,direction_agg_0_120_after
91,2007-03-14 08:30:00,41_19,0.8,0,2.0,0,0,2,2,0,2,2,0,0,2,2007,11,2,2,11,-5,9,-8,9,-6,7,-8,7,-6,6,-6,20,-2,20,-9,14,10,22,2
92,2007-03-14 10:30:00,18,-0.27,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,2,1,5,0,14,12,11,5,5,8,8,2,5,4,17,1,17,7,33,30,25,2
93,2007-03-15 08:30:00,69_21_49_16,-23.87,0,1.53,0,0,6,2,8,0,0,1,1,2,2007,11,3,4,30,13,9,10,8,4,7,4,6,8,5,4,30,22,36,21,30,-6,20,2
94,2007-03-15 09:00:00,66,3.0,0,-3.9000000000000004,0,0,3,0,3,0,0,1,0,0,2007,11,3,1,14,6,13,15,8,10,5,8,15,15,7,12,26,14,26,11,30,-4,22,2
95,2007-03-15 10:30:00,46,0.48,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,3,1,5,-3,4,-1,6,2,5,0,15,9,6,10,20,7,24,17,13,4,10,1
96,2007-03-15 12:00:00,53,-7.6,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,11,3,1,14,-9,12,-2,6,-2,5,-5,20,-10,4,-9,24,-12,25,-16,20,10,-16,0
97,2007-03-16 08:30:00,13_8,2.0,0,0.0,0,3,2,0,5,0,0,1,0,1,2007,11,4,2,10,-2,8,-1,10,3,8,2,6,0,5,1,13,1,22,-10,14,-11,-2,1
98,2007-03-16 09:15:00,9_42,4.0,0,4.0,0,0,4,0,0,4,0,0,0,2,2007,11,4,2,13,-9,6,-12,4,-10,9,-1,6,-5,15,3,23,1,23,0,23,-10,-5,1
99,2007-03-16 10:00:00,58,-3.5999999999999996,0,-6.0,0,0,0,3,0,0,3,1,0,0,2007,11,4,1,8,-3,5,-1,4,-1,7,-5,4,-1,4,-3,13,-6,14,-3,23,-2,-16,0
100,2007-03-19 13:00:00,44,-2.0,0,-1.0,0,0,0,1,0,0,1,0,1,0,2007,12,0,1,4,4,7,2,7,-3,5,-5,5,-5,6,-5,16,-6,16,-2,13,-2,4,1
101,2007-03-20 08:30:00,4_36,1.96,0,-0.02,0,2,2,0,4,0,0,0,0,2,2007,12,1,2,8,-7,10,2,6,2,8,5,6,3,8,5,27,16,27,-1,13,3,5,1
102,2007-03-21 10:30:00,18,0.87,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,12,2,1,5,0,5,1,7,0,5,1,5,0,5,-1,10,2,10,-3,9,1,-2,1
103,2007-03-21 14:15:00,26,0.0,0,0.0,0,3,0,0,3,0,0,1,0,0,2007,12,2,1,41,28,38,66,25,53,21,69,15,58,12,67,82,78,82,71,49,3,79,2
104,2007-03-22 08:30:00,69,-0.19,0,1.41,0,1,0,0,1,0,0,0,1,0,2007,12,3,1,12,-7,8,-7,8,-7,8,-3,6,-3,4,-3,16,-6,18,0,20,-8,9,1
105,2007-03-22 10:00:00,7,-0.2,0,-0.4,0,0,0,1,0,0,1,0,1,0,2007,12,3,1,11,7,10,12,5,11,5,12,6,10,5,8,14,2,16,3,22,6,0,1
106,2007-03-22 10:30:00,46,3.17,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,12,3,1,5,-2,5,-5,3,-5,4,-7,6,-6,4,-6,17,-12,19,-12,22,8,-10,1
107,2007-03-23 10:00:00,23,3.0,0,-0.06,0,0,3,0,3,0,0,1,0,0,2007,12,4,1,16,-11,9,-7,9,-14,14,-24,11,-24,6,-24,37,-32,37,-26,29,-9,-29,0
108,2007-03-26 10:00:00,47,-411.0,0,-165.0,0,0,0,3,0,0,3,1,0,0,2007,13,0,1,21,22,14,33,4,32,10,38,6,47,7,49,46,35,46,33,53,28,31,2
109,2007-03-27 09:00:00,65,-0.2,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,13,1,1,3,2,3,1,4,1,9,-8,3,-9,3,-9,13,-5,17,4,21,-6,10,1
110,2007-03-27 10:00:00,64_6,-11.4,0,-3.9000000000000004,0,0,0,4,1,0,3,1,1,0,2007,13,1,2,11,-4,6,-6,8,1,16,14,8,17,3,15,31,8,31,8,17,-1,11,1
111,2007-03-28 08:30:00,14_20,-6.699999999999999,0,-5.7,0,0,0,5,0,0,5,1,0,1,2007,13,2,2,20,12,6,11,3,10,6,15,3,14,10,8,20,5,20,10,22,-1,20,2
112,2007-03-28 10:30:00,18,-0.75,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,13,2,1,18,7,9,2,5,3,8,7,6,5,5,6,19,3,27,-7,20,1,-21,0
113,2007-03-29 08:30:00,69_28_27,0.75,0,1.41,0,1,3,0,4,0,0,0,2,1,2007,13,3,3,13,-14,14,-20,6,-15,6,-18,7,-16,5,-14,25,-9,25,-8,26,-5,-7,1
114,2007-03-29 10:30:00,46,-0.51,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,13,3,1,2,-2,1,-1,5,4,3,2,6,-1,4,-1,8,-1,11,-1,10,2,10,1
115,2007-03-30 08:30:00,15_52_51,6.0,0,-0.30000000000000004,0,0,6,0,3,0,3,1,1,1,2007,13,4,3,7,-4,29,-34,11,-24,7,-20,8,-16,5,-12,35,-12,35,-7,20,16,-28,0
116,2007-03-30 09:45:00,10,2.0,0,0.0,0,0,2,0,2,0,0,0,0,1,2007,13,4,1,12,0,3,-1,6,3,17,-10,9,-15,5,-15,24,-6,24,-2,24,-2,75,2
117,2007-03-30 10:00:00,11_63,0.19999999999999996,0,-4.0,0,2,1,0,2,1,0,0,1,1,2007,13,4,2,17,-13,9,-18,5,-18,8,-12,4,-11,5,-8,24,-6,24,-4,24,-9,69,2
118,2007-04-02 10:00:00,38_39,-0.20000000000000018,0,0.0,0,0,1,3,4,0,0,1,1,0,2007,14,0,2,12,8,5,9,4,8,10,1,3,3,2,1,21,-2,21,3,15,-7,3,1
119,2007-04-03 01:00:00,67,-0.1,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,1,1,2,1,2,0,2,0,2,0,1,-1,2,0,6,-3,13,-10,4,1,3,1
