,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,volatility_0_30_after,pips_agg_0_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_90_after,direction_agg_0_90_after
75,2007-06-05 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,23,1,1,10,-3,3,3,-2,1,4,-2,0,6,-6,-3,12,-12,-5,3,-14,-1,18,-7,24,-19,2,1
76,2007-06-08 08:30:00,31,2.03,0,5.14,2,0,1,0,0,1,0,1,2007,23,4,1,12,-10,-9,7,-10,0,11,-18,-9,3,-15,2,3,-16,-1,6,-20,-5,19,-14,33,21,-9,1
77,2007-06-13 08:30:00,10_29,3.55,0,0.94,0,0,2,0,0,2,0,2,2007,24,2,2,14,-14,-11,13,-2,12,18,10,11,14,-3,-11,9,1,4,12,-9,-10,34,4,23,2,10,1
78,2007-06-14 08:30:00,23,0.86,0,0.0,0,0,1,0,1,0,0,1,2007,24,3,1,17,-17,-16,14,-1,13,17,10,12,6,3,-5,6,-4,-6,5,-6,-3,33,-2,32,-11,16,2
79,2007-06-15 08:30:00,7,-1.41,2,0.04,0,0,0,1,1,0,0,1,2007,24,4,1,17,-2,-4,13,5,7,11,13,9,9,21,8,8,15,-4,7,16,1,24,13,27,9,12,1
80,2007-06-15 09:00:00,30,0.35,0,-2.21,2,0,1,0,0,0,1,1,2007,24,4,1,9,1,2,4,-2,-2,4,1,2,18,20,16,10,15,-7,3,14,-1,26,16,31,22,7,1
81,2007-06-15 10:00:00,28,-1.33,0,-0.28,0,0,0,1,1,0,0,1,2007,24,4,1,11,10,8,9,4,-6,5,8,5,3,8,0,6,9,0,5,12,4,11,6,29,0,37,2
82,2007-06-25 10:00:00,14,0.1,0,0.69,0,0,1,0,1,0,0,1,2007,26,0,1,7,2,1,3,3,1,7,-4,-6,4,0,4,3,-1,0,3,0,1,8,-2,8,-1,-19,0
83,2007-06-26 10:00:00,21_4,-0.69,0,-1.83,1,0,0,2,0,1,1,2,2007,26,1,2,15,-8,-9,5,-6,1,4,-7,-2,4,-9,-2,4,-8,1,2,-9,-1,17,-9,15,4,-6,1
84,2007-06-27 08:30:00,8,-0.6,0,1.61,0,0,0,1,0,1,0,1,2007,26,2,1,8,3,2,5,1,-2,5,-1,-1,7,-8,-6,7,-2,5,6,-8,-6,18,-3,22,3,-5,1
85,2007-06-28 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,26,3,1,12,2,4,8,7,4,5,7,1,7,2,-4,5,-2,-4,3,-2,0,15,0,17,-14,-8,1
86,2007-06-29 08:30:00,9,0.11,0,0.04,0,1,0,0,1,0,0,1,2007,26,4,1,9,-5,-6,6,-2,3,7,-6,-3,3,-5,1,4,-2,3,2,0,1,11,-2,22,13,2,1
87,2007-07-02 10:00:00,17,0.43,0,0.0,0,0,1,0,1,0,0,1,2007,27,0,1,6,0,-1,2,-1,-1,13,10,10,8,14,4,5,13,-1,8,21,8,26,12,10,-3,24,2
88,2007-07-03 10:00:00,24,-1.28,0,-0.58,0,0,0,1,0,0,1,1,2007,27,1,1,8,-3,-5,7,-11,-6,7,-4,7,4,-7,-3,2,-7,1,7,-12,-5,19,-9,13,-1,-3,1
89,2007-07-05 10:00:00,18,0.79,0,0.0,0,0,1,0,1,0,0,1,2007,27,3,1,8,-10,-8,9,-7,4,5,-7,-1,12,-18,-10,11,-15,5,6,-19,-4,24,-13,27,-19,-12,1
90,2007-07-06 08:30:00,22_33,0.33,0,1.88,0,1,1,0,1,1,0,2,2007,27,4,2,28,-26,-27,15,-15,12,9,-19,-4,6,-21,-1,5,-17,3,19,0,18,29,-19,33,12,5,1
91,2007-07-12 08:30:00,31,-3.39,0,-0.29,0,1,0,0,1,0,0,1,2007,28,3,1,9,7,7,5,9,2,17,-6,-14,6,-2,5,17,-20,-16,6,-17,3,30,-20,11,0,-20,0
92,2007-07-13 08:30:00,10_29,-3.0199999999999996,0,1.9300000000000002,0,0,0,2,0,2,0,2,2007,28,4,2,17,18,15,17,33,13,13,21,-10,6,17,-3,8,23,5,4,22,0,31,19,22,0,23,2
