,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,precision_above_TH,support_below_TH,support_above_TH,report,elapsed_time
0,clf,kn,max,basic,ALL_NO_3_2_1,60_120,included,basic,0.74,{'n_neighbors': 71},0.73,0.72,0.73,0.67,944.00,348.00,"{'0': {'precision': 0.734375, 'recall': 0.9957627118644068, 'f1-score': 0.8453237410071943, 'support': 944}, '1': {'precision': 0.6666666666666666, 'recall': 0.022988505747126436, 'f1-score': 0.044444444444444446, 'support': 348}, 'micro avg': {'precision': 0.7337461300309598, 'recall': 0.7337461300309598, 'f1-score': 0.7337461300309598, 'support': 1292}, 'macro avg': {'precision': 0.7005208333333333, 'recall': 0.5093756088057666, 'f1-score': 0.44488409272581936, 'support': 1292}, 'weighted avg': {'precision': 0.7161377708978328, 'recall': 0.7337461300309598, 'f1-score': 0.6296070264531409, 'support': 1292}}",7.18
1,clf,svc-rbf,max,basic,ALL_NO_3_2_1,60_120,included,basic,0.74,"{'C': 1, 'gamma': 1}",0.73,0.53,0.73,0.00,944.00,348.00,"{'0': {'precision': 0.7306501547987616, 'recall': 1.0, 'f1-score': 0.8443649373881932, 'support': 944}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 348}, 'micro avg': {'precision': 0.7306501547987616, 'recall': 0.7306501547987616, 'f1-score': 0.7306501547987616, 'support': 1292}, 'macro avg': {'precision': 0.3653250773993808, 'recall': 0.5, 'f1-score': 0.4221824686940966, 'support': 1292}, 'weighted avg': {'precision': 0.5338496487074542, 'recall': 0.7306501547987616, 'f1-score': 0.61693537220933, 'support': 1292}}",7.57
2,clf,dtree,max,basic,ALL_NO_3_2_1,60_120,included,basic,0.76,"{'max_depth': 4, 'min_samples_leaf': 200}",0.75,0.72,0.76,0.59,944.00,348.00,"{'0': {'precision': 0.7632027257240205, 'recall': 0.9491525423728814, 'f1-score': 0.8460812086874411, 'support': 944}, '1': {'precision': 0.5932203389830508, 'recall': 0.20114942528735633, 'f1-score': 0.30042918454935624, 'support': 348}, 'micro avg': {'precision': 0.7476780185758514, 'recall': 0.7476780185758514, 'f1-score': 0.7476780185758514, 'support': 1292}, 'macro avg': {'precision': 0.6782115323535356, 'recall': 0.5751509838301189, 'f1-score': 0.5732551966183986, 'support': 1292}, 'weighted avg': {'precision': 0.7174179961684033, 'recall': 0.7476780185758514, 'f1-score': 0.6991099204521055, 'support': 1292}}",0.58
3,clf,rforest,max,basic,ALL_NO_3_2_1,60_120,included,basic,0.75,"{'max_depth': 5, 'min_samples_leaf': 30, 'n_estimators': 200}",0.75,0.74,0.75,0.71,944.00,348.00,"{'0': {'precision': 0.7549019607843137, 'recall': 0.9788135593220338, 'f1-score': 0.85239852398524, 'support': 944}, '1': {'precision': 0.7058823529411765, 'recall': 0.13793103448275862, 'f1-score': 0.23076923076923078, 'support': 348}, 'micro avg': {'precision': 0.7523219814241486, 'recall': 0.7523219814241486, 'f1-score': 0.7523219814241486, 'support': 1292}, 'macro avg': {'precision': 0.7303921568627452, 'recall': 0.5583722969023962, 'f1-score': 0.5415838773772353, 'support': 1292}, 'weighted avg': {'precision': 0.7416985369999393, 'recall': 0.7523219814241486, 'f1-score': 0.6849627700849527, 'support': 1292}}",20.75
4,clf,xgb,max,basic,ALL_NO_3_2_1,60_120,included,basic,0.75,{'n_estimators': 10},0.75,0.72,0.76,0.63,944.00,348.00,"{'0': {'precision': 0.7593984962406015, 'recall': 0.9629237288135594, 'f1-score': 0.8491359177954227, 'support': 944}, '1': {'precision': 0.631578947368421, 'recall': 0.1724137931034483, 'f1-score': 0.2708803611738149, 'support': 348}, 'micro avg': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 1292}, 'macro avg': {'precision': 0.6954887218045113, 'recall': 0.5676687609585038, 'f1-score': 0.5600081394846188, 'support': 1292}, 'weighted avg': {'precision': 0.7249703205381876, 'recall': 0.75, 'f1-score': 0.6933828731326367, 'support': 1292}}",0.33
5,clf,gboosting,max,basic,ALL_NO_3_2_1,60_120,included,basic,0.75,{'n_estimators': 50},0.76,0.74,0.77,0.66,944.00,348.00,"{'0': {'precision': 0.7704778156996587, 'recall': 0.9565677966101694, 'f1-score': 0.8534971644612476, 'support': 944}, '1': {'precision': 0.6583333333333333, 'recall': 0.22701149425287356, 'f1-score': 0.3376068376068376, 'support': 348}, 'micro avg': {'precision': 0.760061919504644, 'recall': 0.760061919504644, 'f1-score': 0.760061919504644, 'support': 1292}, 'macro avg': {'precision': 0.714405574516496, 'recall': 0.5917896454315215, 'f1-score': 0.5955520010340426, 'support': 1292}, 'weighted avg': {'precision': 0.740271716734116, 'recall': 0.760061919504644, 'f1-score': 0.714542184782196, 'support': 1292}}",0.86
6,clf,ada,max,basic,ALL_NO_3_2_1,60_120,included,basic,0.75,{'n_estimators': 10},0.76,0.74,0.76,0.66,944.00,348.00,"{'0': {'precision': 0.7645079899074853, 'recall': 0.9629237288135594, 'f1-score': 0.8523206751054853, 'support': 944}, '1': {'precision': 0.6601941747572816, 'recall': 0.19540229885057472, 'f1-score': 0.30155210643015523, 'support': 348}, 'micro avg': {'precision': 0.7561919504643962, 'recall': 0.7561919504643962, 'f1-score': 0.7561919504643962, 'support': 1292}, 'macro avg': {'precision': 0.7123510823323834, 'recall': 0.579163013832067, 'f1-score': 0.5769363907678202, 'support': 1292}, 'weighted avg': {'precision': 0.7364110799444272, 'recall': 0.7561919504643962, 'f1-score': 0.7039712463910774, 'support': 1292}}",0.83
0,reg,kn,max,basic,ALL_NO_3_2_1,60_120,included,basic,14.16,{'n_neighbors': 41},,,,,,,13.99,5.93
1,reg,svr-rbf,max,basic,ALL_NO_3_2_1,60_120,included,basic,15.44,"{'C': 5, 'gamma': 1}",,,,,,,15.40,7.05
2,reg,dtree,max,basic,ALL_NO_3_2_1,60_120,included,basic,13.87,"{'max_depth': 3, 'min_samples_leaf': 50}",,,,,,,13.96,0.58
