,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
2,clf,dtree,basic,ALL_YES_3_2_1,60_120,included,basic,0.70,"{'max_depth': 6, 'min_samples_leaf': 100}",0.68,0.68,0.65,0.69,0.66,205.00,492.00,220.00,"{'0': {'precision': 0.6473684210526316, 'recall': 0.6, 'f1-score': 0.6227848101265823, 'support': 205}, '1': {'precision': 0.6949458483754513, 'recall': 0.782520325203252, 'f1-score': 0.7361376673040153, 'support': 492}, '2': {'precision': 0.6589595375722543, 'recall': 0.5181818181818182, 'f1-score': 0.5801526717557252, 'support': 220}, 'micro avg': {'precision': 0.678298800436205, 'recall': 0.678298800436205, 'f1-score': 0.678298800436205, 'support': 917}, 'macro avg': {'precision': 0.6670912690001124, 'recall': 0.6335673811283566, 'f1-score': 0.6463583830621076, 'support': 917}, 'weighted avg': {'precision': 0.6756760981269438, 'recall': 0.678298800436205, 'f1-score': 0.6733742706388053, 'support': 917}}",0.23
3,clf,rforest,basic,ALL_YES_3_2_1,60_120,included,basic,0.70,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 200}",0.67,0.66,0.64,0.67,0.68,205.00,492.00,220.00,"{'0': {'precision': 0.6410256410256411, 'recall': 0.4878048780487805, 'f1-score': 0.554016620498615, 'support': 205}, '1': {'precision': 0.6666666666666666, 'recall': 0.8130081300813008, 'f1-score': 0.7326007326007327, 'support': 492}, '2': {'precision': 0.6832298136645962, 'recall': 0.5, 'f1-score': 0.5774278215223096, 'support': 220}, 'micro avg': {'precision': 0.6652126499454744, 'recall': 0.6652126499454744, 'f1-score': 0.6652126499454744, 'support': 917}, 'macro avg': {'precision': 0.6636407071189679, 'recall': 0.6002710027100271, 'f1-score': 0.6213483915405524, 'support': 917}, 'weighted avg': {'precision': 0.6649081956559079, 'recall': 0.6652126499454744, 'f1-score': 0.6554493875427314, 'support': 917}}",9.65
4,clf,xgb,basic,ALL_YES_3_2_1,60_120,included,basic,0.71,{'n_estimators': 10},0.68,0.67,0.63,0.69,0.69,205.00,492.00,220.00,"{'0': {'precision': 0.6348314606741573, 'recall': 0.551219512195122, 'f1-score': 0.5900783289817233, 'support': 205}, '1': {'precision': 0.6853146853146853, 'recall': 0.7967479674796748, 'f1-score': 0.7368421052631579, 'support': 492}, '2': {'precision': 0.688622754491018, 'recall': 0.5227272727272727, 'f1-score': 0.5943152454780362, 'support': 220}, 'micro avg': {'precision': 0.6761177753544165, 'recall': 0.6761177753544165, 'f1-score': 0.6761177753544165, 'support': 917}, 'macro avg': {'precision': 0.6695896334932868, 'recall': 0.6235649174673565, 'f1-score': 0.6404118932409725, 'support': 917}, 'weighted avg': {'precision': 0.6748225524547997, 'recall': 0.6761177753544165, 'f1-score': 0.6698383066912702, 'support': 917}}",0.42
5,clf,gboosting,basic,ALL_YES_3_2_1,60_120,included,basic,0.71,{'n_estimators': 10},0.67,0.67,0.64,0.68,0.69,205.00,492.00,220.00,"{'0': {'precision': 0.6407185628742516, 'recall': 0.5219512195121951, 'f1-score': 0.5752688172043011, 'support': 205}, '1': {'precision': 0.6751269035532995, 'recall': 0.8109756097560976, 'f1-score': 0.736842105263158, 'support': 492}, '2': {'precision': 0.6918238993710691, 'recall': 0.5, 'f1-score': 0.5804749340369394, 'support': 220}, 'micro avg': {'precision': 0.6717557251908397, 'recall': 0.6717557251908397, 'f1-score': 0.6717557251908397, 'support': 917}, 'macro avg': {'precision': 0.6692231219328734, 'recall': 0.6109756097560975, 'f1-score': 0.6308619521681328, 'support': 917}, 'weighted avg': {'precision': 0.6714405668474156, 'recall': 0.6717557251908397, 'f1-score': 0.663207097932914, 'support': 917}}",1.26
6,clf,ada,basic,ALL_YES_3_2_1,60_120,included,basic,0.70,{'n_estimators': 10},0.68,0.69,0.61,0.71,0.71,205.00,492.00,220.00,"{'0': {'precision': 0.6121495327102804, 'recall': 0.6390243902439025, 'f1-score': 0.6252983293556086, 'support': 205}, '1': {'precision': 0.707089552238806, 'recall': 0.7703252032520326, 'f1-score': 0.7373540856031129, 'support': 492}, '2': {'precision': 0.7065868263473054, 'recall': 0.5363636363636364, 'f1-score': 0.6098191214470284, 'support': 220}, 'micro avg': {'precision': 0.6848418756815703, 'recall': 0.6848418756815703, 'f1-score': 0.6848418756815703, 'support': 917}, 'macro avg': {'precision': 0.675275303765464, 'recall': 0.6485710766198571, 'f1-score': 0.6574905121352499, 'support': 917}, 'weighted avg': {'precision': 0.6857446190877942, 'recall': 0.6848418756815703, 'f1-score': 0.6817061879530835, 'support': 917}}",0.49
0,reg,kn,basic,ALL_YES_3_2_1,60_120,included,basic,22.85,{'n_neighbors': 11},,,,,,,,,22.23,4.92
1,reg,svr-rbf,basic,ALL_YES_3_2_1,60_120,included,basic,33.13,"{'C': 1, 'gamma': 1}",,,,,,,,,31.55,2.09
2,reg,dtree,basic,ALL_YES_3_2_1,60_120,included,basic,21.71,"{'max_depth': 4, 'min_samples_leaf': 10}",,,,,,,,,21.56,0.25
3,reg,rforest,basic,ALL_YES_3_2_1,60_120,included,basic,21.30,"{'max_depth': 4, 'min_samples_leaf': 10, 'n_estimators': 100}",,,,,,,,,20.89,27.07
4,reg,xgb,basic,ALL_YES_3_2_1,60_120,included,basic,21.09,{'n_estimators': 50},,,,,,,,,20.65,0.15
