,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_30_after,direction_agg_0_30_after
100,2007-03-19 13:00:00,44,-2.0,0,-1.0,0,0,0,1,0,0,1,0,1,0,2007,12,0,1,13,-2,-7,1
101,2007-03-20 08:30:00,4_36,0.98,0,-0.01,0,1,1,0,2,0,0,0,0,2,2007,12,1,2,13,3,3,1
102,2007-03-21 10:30:00,18,0.87,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,12,2,1,9,1,-2,1
103,2007-03-21 14:15:00,26,0.0,0,0.0,0,1,0,0,1,0,0,1,0,0,2007,12,2,1,49,3,55,2
104,2007-03-22 08:30:00,69,-0.43,0,1.41,0,1,0,0,1,0,0,0,1,0,2007,12,3,1,20,-8,-1,1
105,2007-03-22 10:00:00,7,-0.2,0,-0.4,0,0,0,1,0,0,1,0,1,0,2007,12,3,1,22,6,6,1
106,2007-03-22 10:30:00,46,5.75,2,0.0,0,1,0,0,1,0,0,0,1,0,2007,12,3,1,22,8,-4,1
107,2007-03-23 10:00:00,23,1.0,0,-0.02,0,0,1,0,1,0,0,1,0,0,2007,12,4,1,29,-9,-24,0
108,2007-03-26 10:00:00,47,-137.0,0,-55.0,0,0,0,1,0,0,1,1,0,0,2007,13,0,1,53,28,42,2
109,2007-03-27 09:00:00,65,-0.2,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,13,1,1,21,-6,-8,1
110,2007-03-27 10:00:00,64_6,-7.8,0,-1.3,0,0,0,2,1,0,1,1,1,0,2007,13,1,2,17,-1,15,2
111,2007-03-28 08:30:00,14_20,-2.4,0,-2.4,0,0,0,2,0,0,2,1,0,1,2007,13,2,2,22,-1,14,2
112,2007-03-28 10:30:00,18,-0.75,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,13,2,1,20,1,8,1
113,2007-03-29 08:30:00,69_28_27,-0.25,1,1.41,0,1,2,0,3,0,0,0,2,1,2007,13,3,3,26,-5,-13,0
114,2007-03-29 10:30:00,46,-2.24,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,13,3,1,10,2,2,1
115,2007-03-30 08:30:00,15_52_51,3.0,0,-0.1,0,0,3,0,2,0,1,1,1,1,2007,13,4,3,20,16,-16,0
116,2007-03-30 09:45:00,10,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,13,4,1,24,-2,-13,0
117,2007-03-30 10:00:00,11_63,0.6,0,-1.5,0,1,1,0,1,1,0,0,1,1,2007,13,4,2,24,-9,-10,0
118,2007-04-02 10:00:00,38_39,0.6,0,0.0,0,0,1,1,2,0,0,1,1,0,2007,14,0,2,15,-7,2,1
